SA1_7DIGITCODE_2016,M_15_19_Ud_wk_L_5_hrs,M_15_19_Ud_wk_5_14_hrs,M_15_19_Ud_wk_15_29_hrs,M_15_19_Ud_wk_30h_more,M_15_19_no_Ud_wk,M_15_19_Ud_wk_ns,M_15_19_OS_v,M_15_19_yr_Tot,M_20_24_Ud_wk_L_5_hrs,M_20_24_Ud_wk_5_14_hrs,M_20_24_Ud_wk_15_29_hrs,M_20_24_Ud_wk_30h_more,M_20_24_no_Ud_wk,M_20_24_Ud_wk_ns,M_20_24_OS_v,M_20_24_yr_Tot,M_25_34_Ud_wk_L_5_hrs,M_25_34_Ud_wk_5_14_hrs,M_25_34_Ud_wk_15_29_hrs,M_25_34_Ud_wk_30h_more,M_25_34_no_Ud_wk,M_25_34_Ud_wk_ns,M_25_34_OS_v,M_25_34_yr_Tot,M_35_44_Ud_wk_L_5_hrs,M_35_44_Ud_wk_5_14_hrs,M_35_44_Ud_wk_15_29_hrs,M_35_44_Ud_wk_30h_more,M_35_44_no_Ud_wk,M_35_44_Ud_wk_ns,M_35_44_OS_v,M_35_44_yr_Tot,M_45_54_Ud_wk_L_5_hrs,M_45_54_Ud_wk_5_14_hrs,M_45_54_Ud_wk_15_29_hrs,M_45_54_Ud_wk_30h_more,M_45_54_no_Ud_wk,M_45_54_Ud_wk_ns,M_45_54_OS_v,M_45_54_yr_Tot,M_55_64_Ud_wk_L_5_hrs,M_55_64_Ud_wk_5_14_hrs,M_55_64_Ud_wk_15_29_hrs,M_55_64_Ud_wk_30h_more,M_55_64_no_Ud_wk,M_55_64_Ud_wk_ns,M_55_64_OS_v,M_55_64_yr_Tot,M_65_74_Ud_wk_L_5_hrs,M_65_74_Ud_wk_5_14_hrs,M_65_74_Ud_wk_15_29_hrs,M_65_74_Ud_wk_30h_more,M_65_74_no_Ud_wk,M_65_74_Ud_wk_ns,M_65_74_OS_v,M_65_74_yr_Tot,M_75_84_Ud_wk_L_5_hrs,M_75_84_Ud_wk_5_14_hrs,M_75_84_Ud_wk_15_29_hrs,M_75_84_Ud_wk_30h_more,M_75_84_no_Ud_wk,M_75_84_Ud_wk_ns,M_75_84_OS_v,M_75_84_yr_Tot,M_85ov_Ud_wk_L_5_h,M_85ov_Ud_wk_5_14_h,M_85ov_Ud_wk_15_29_h,M_85ov_Ud_wk_30h_more,M_85ov_no_Ud_wk,M_85ov_Ud_wk_ns,M_85ov_OS_v,M_85_yr_over_Tot,M_Tot_Ud_wk_L_5_hrs,M_Tot_Ud_wk_5_14_hrs,M_Tot_Ud_wk_15_29_hrs,M_Tot_Ud_wk_30h_more,M_Tot_no_Ud_wk,M_Tot_Ud_wk_ns,M_Total_OS_v,M_Tot_Tot,F_15_19_Ud_wk_L_5_hrs,F_15_19_Ud_wk_5_14_hrs,F_15_19_Ud_wk_15_29_hrs,F_15_19_Ud_wk_30h_more,F_15_19_no_Ud_wk,F_15_19_Ud_wk_ns,F_15_19_OS_v,F_15_19_yr_Tot,F_20_24_Ud_wk_L_5_hrs,F_20_24_Ud_wk_5_14_hrs,F_20_24_Ud_wk_15_29_hrs,F_20_24_Ud_wk_30h_more,F_20_24_no_Ud_wk,F_20_24_Ud_wk_ns,F_20_24_OS_v,F_20_24_yr_Tot,F_25_34_Ud_wk_L_5_hrs,F_25_34_Ud_wk_5_14_hrs,F_25_34_Ud_wk_15_29_hrs,F_25_34_Ud_wk_30h_more,F_25_34_no_Ud_wk,F_25_34_Ud_wk_ns,F_25_34_OS_v,F_25_34_yr_Tot,F_35_44_Ud_wk_L_5_hrs,F_35_44_Ud_wk_5_14_hrs,F_35_44_Ud_wk_15_29_hrs,F_35_44_Ud_wk_30h_more,F_35_44_no_Ud_wk,F_35_44_Ud_wk_ns,F_35_44_OS_v,F_35_44_yr_Tot,F_45_54_Ud_wk_L_5_hrs,F_45_54_Ud_wk_5_14_hrs,F_45_54_Ud_wk_15_29_hrs,F_45_54_Ud_wk_30h_more,F_45_54_no_Ud_wk,F_45_54_Ud_wk_ns,F_45_54_OS_v,F_45_54_yr_Tot,F_55_64_Ud_wk_L_5_hrs,F_55_64_Ud_wk_5_14_hrs,F_55_64_Ud_wk_15_29_hrs,F_55_64_Ud_wk_30h_more,F_55_64_no_Ud_wk,F_55_64_Ud_wk_ns,F_55_64_OS_v,F_55_64_yr_Tot,F_65_74_Ud_wk_L_5_hrs,F_65_74_Ud_wk_5_14_hrs,F_65_74_Ud_wk_15_29_hrs,F_65_74_Ud_wk_30h_more,F_65_74_no_Ud_wk,F_65_74_Ud_wk_ns,F_65_74_OS_v,F_65_74_yr_Tot,F_75_84_Ud_wk_L_5_hrs,F_75_84_Ud_wk_5_14_hrs,F_75_84_Ud_wk_15_29_hrs,F_75_84_Ud_wk_30h_more,F_75_84_no_Ud_wk,F_75_84_Ud_wk_ns,F_75_84_OS_v,F_75_84_yr_Tot,F_85ov_Ud_wk_L_5_h,F_85ov_Ud_wk_5_14_h,F_85ov_Ud_wk_15_29_h,F_85ov_Ud_wk_30h_more,F_85ov_no_Ud_wk,F_85ov_Ud_wk_ns,F_85ov_OS_v,F_85_yr_over_Tot,F_Tot_Ud_wk_L_5_hrs,F_Tot_Ud_wk_5_14_hrs,F_Tot_Ud_wk_15_29_hrs,F_Tot_Ud_wk_30h_more,F_Tot_no_Ud_wk,F_Tot_Ud_wk_ns,F_Total_OS_v,F_Tot_Tot,P_15_19_Ud_wk_L_5_hrs,P_15_19_Ud_wk_5_14_hrs,P_15_19_Ud_wk_15_29_hrs,P_15_19_Ud_wk_30h_more,P_15_19_no_Ud_wk,P_15_19_Ud_wk_ns,P_15_19_OS_v,P_15_19_yr_Tot,P_20_24_Ud_wk_L_5_hrs,P_20_24_Ud_wk_5_14_hrs,P_20_24_Ud_wk_15_29_hrs,P_20_24_Ud_wk_30h_more,P_20_24_no_Ud_wk,P_20_24_Ud_wk_ns,P_20_24_OS_v,P_20_24_yr_Tot,P_25_34_Ud_wk_L_5_hrs,P_25_34_Ud_wk_5_14_hrs,P_25_34_Ud_wk_15_29_hrs,P_25_34_Ud_wk_30h_more,P_25_34_no_Ud_wk,P_25_34_Ud_wk_ns,P_25_34_OS_v,P_25_34_yr_Tot,P_35_44_Ud_wk_L_5_hrs,P_35_44_Ud_wk_5_14_hrs,P_35_44_Ud_wk_15_29_hrs,P_35_44_Ud_wk_30h_more,P_35_44_no_Ud_wk,P_35_44_Ud_wk_ns,P_35_44_OS_v,P_35_44_yr_Tot,P_45_54_Ud_wk_L_5_hrs,P_45_54_Ud_wk_5_14_hrs,P_45_54_Ud_wk_15_29_hrs,P_45_54_Ud_wk_30h_more,P_45_54_no_Ud_wk,P_45_54_Ud_wk_ns,P_45_54_OS_v,P_45_54_yr_Tot
5102804,3,0,0,0,16,0,0,19,3,0,0,0,11,0,0,16,0,3,3,0,4,5,0,20,7,15,0,0,3,0,0,26,3,9,3,0,14,0,0,24,4,12,3,0,7,3,0,25,5,4,0,8,7,3,0,31,3,3,3,0,3,0,0,12,0,3,0,0,3,0,0,11,30,49,15,9,68,15,0,187,3,0,0,0,7,0,0,14,7,3,0,0,3,0,0,15,3,3,5,7,0,0,0,21,3,11,5,7,8,3,0,39,3,7,8,5,7,3,0,38,3,10,6,12,3,3,0,37,3,5,3,10,6,3,0,34,0,0,3,3,8,0,0,14,3,0,0,0,7,0,0,5,29,45,36,46,47,12,0,217,9,3,0,0,18,0,0,27,8,4,0,0,15,0,0,33,5,13,14,7,5,5,0,44,8,19,12,7,15,8,0,63,11,13,8,5,23,4,0,61
5102805,9,5,0,0,4,0,0,17,4,0,0,0,11,0,0,14,3,6,0,0,3,0,0,18,9,9,0,4,0,0,0,22,3,11,0,0,3,3,0,31,10,3,0,0,3,0,0,18,6,0,3,3,7,0,0,21,0,4,0,5,3,3,0,18,0,0,0,0,0,0,0,0,36,34,11,12,41,12,0,151,10,5,0,0,5,0,0,23,3,9,0,5,0,0,0,14,4,8,3,3,0,0,0,14,0,12,4,8,3,0,0,28,0,17,10,10,3,4,0,36,0,5,7,0,4,0,0,19,0,3,3,6,9,0,0,21,0,4,0,6,4,3,0,21,0,0,0,0,0,0,0,0,24,53,19,36,30,19,0,186,19,10,0,0,11,0,0,40,9,9,0,5,11,3,0,27,9,11,3,6,3,0,0,31,9,20,8,7,4,0,0,45,4,26,13,9,9,5,0,66
5102807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,10,3,5,0,3,3,3,0,18,6,11,3,0,3,0,0,22,0,3,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,22,23,3,3,17,6,0,74,6,0,0,0,3,0,0,7,0,3,0,0,3,0,0,10,3,3,0,0,0,0,0,10,3,4,0,0,0,0,0,15,3,3,4,0,3,0,0,18,3,10,3,0,3,0,0,23,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,17,33,12,12,15,3,0,95,6,4,0,0,3,0,0,9,0,5,0,0,3,0,0,11,3,8,0,3,0,0,0,16,3,9,0,0,0,3,0,17,7,9,4,3,4,4,0,33
5102808,3,0,0,0,3,0,0,11,3,0,0,0,3,0,0,6,6,3,3,0,5,0,0,22,3,0,0,0,7,0,0,14,4,10,0,0,10,0,0,22,3,9,0,0,6,3,0,20,0,8,0,0,11,0,0,19,3,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,39,30,6,3,41,7,0,127,4,0,4,0,5,3,0,14,0,3,3,0,3,0,0,10,3,10,3,7,4,5,0,28,3,7,3,3,3,0,0,25,5,4,3,0,3,0,0,17,4,5,3,3,6,3,0,28,0,9,6,0,5,0,0,20,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,3,22,46,27,24,34,15,0,156,9,0,4,0,9,3,0,21,8,7,3,0,4,0,0,23,10,16,3,7,7,4,0,49,11,8,3,9,11,3,0,39,10,19,3,0,12,0,0,40
5102809,10,0,0,0,9,3,0,23,0,0,0,3,4,0,0,11,7,3,0,0,0,0,0,19,8,6,3,0,10,0,0,20,9,4,0,0,9,3,0,28,9,3,3,0,8,0,0,28,3,4,8,4,5,4,0,23,3,4,4,0,7,3,0,24,0,0,0,0,4,0,0,3,56,31,17,9,55,11,3,181,11,0,0,0,7,0,0,15,4,3,0,0,0,0,0,10,4,4,0,8,0,0,0,18,0,4,5,5,0,0,0,20,3,19,9,3,3,0,0,39,5,20,4,3,3,0,0,38,3,3,11,14,9,4,0,40,0,5,3,7,6,0,0,22,0,0,0,0,0,0,0,0,26,61,35,38,27,9,0,197,15,0,0,0,16,3,0,40,8,8,0,3,8,0,0,23,15,3,0,9,0,3,0,29,8,11,13,5,8,0,0,47,14,20,11,3,13,5,0,67
5102811,5,0,0,0,0,0,0,8,0,0,0,0,3,0,0,6,3,3,0,0,3,0,0,12,0,0,0,0,3,0,0,5,6,9,0,0,3,0,0,25,13,5,3,0,5,0,0,32,13,13,8,3,13,10,0,58,8,11,4,8,7,3,0,35,0,3,0,0,0,5,0,15,52,45,16,14,41,20,0,189,3,3,0,0,0,0,0,5,4,7,0,0,0,0,0,12,8,0,0,0,3,0,0,17,0,5,7,0,0,0,0,15,3,12,3,7,3,0,0,24,4,13,11,4,0,10,0,47,0,17,11,12,9,5,0,49,3,10,6,12,5,6,0,40,0,3,0,0,4,0,0,9,29,63,40,42,26,28,0,221,9,3,0,0,3,0,0,17,6,7,0,3,3,0,0,18,7,4,0,3,5,4,0,23,0,4,4,0,4,0,0,23,14,23,6,5,4,0,0,51
5102812,18,4,0,0,3,0,0,24,7,4,3,0,8,0,0,24,9,12,0,3,7,0,0,27,13,17,0,0,11,0,0,35,12,11,0,0,9,3,0,43,10,17,4,3,6,5,0,42,7,13,6,3,11,4,0,45,5,8,0,0,3,0,0,20,0,7,0,0,0,0,0,6,81,86,26,12,62,13,0,277,11,3,0,0,9,4,0,24,3,7,0,3,3,3,0,21,8,9,11,8,3,0,0,42,3,11,12,6,3,0,0,36,3,18,12,8,11,4,0,55,0,13,20,9,11,4,0,62,0,10,11,12,3,4,0,43,0,3,3,8,7,0,0,23,0,3,0,3,0,0,0,4,40,80,72,54,44,15,0,306,32,5,0,0,9,7,0,53,13,10,4,5,9,0,0,46,21,17,8,11,13,0,0,68,13,24,9,10,13,0,0,70,17,31,19,8,19,6,0,95
5102813,3,0,0,0,8,3,0,17,4,6,3,0,9,0,0,14,10,5,0,0,4,0,0,21,9,6,6,0,0,0,0,16,4,9,0,3,11,3,0,39,15,9,4,4,7,7,0,43,7,12,7,5,18,0,0,45,3,3,4,0,4,0,0,22,0,0,0,0,0,3,0,3,48,46,27,17,70,19,0,221,6,0,0,0,4,0,0,13,3,6,3,0,0,0,0,12,0,10,5,0,0,0,0,19,0,10,10,7,0,0,0,31,5,15,9,0,7,11,0,46,4,8,13,8,11,3,0,42,3,4,9,10,12,5,0,47,0,3,0,0,12,4,0,21,0,0,0,0,0,0,0,0,26,60,49,34,49,22,0,232,13,0,0,0,18,5,0,33,3,9,5,0,5,0,0,29,7,14,4,0,7,3,0,37,10,18,15,8,3,0,0,48,12,25,10,3,16,11,0,82
5102814,7,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,13,5,7,7,0,8,0,0,29,0,3,0,0,3,0,0,10,6,6,3,10,12,0,0,36,8,0,0,0,3,3,0,17,0,0,0,7,0,3,0,14,0,0,0,0,3,4,0,8,35,26,16,17,34,9,0,133,4,0,0,0,7,0,0,8,0,4,0,0,3,0,0,6,3,3,3,5,3,0,0,18,4,9,3,10,0,0,0,25,0,9,5,0,3,0,0,25,11,8,4,3,5,3,0,37,3,6,0,7,0,0,0,19,0,3,0,4,3,4,0,14,0,0,0,0,0,0,0,3,20,48,22,35,29,11,0,160,11,3,0,0,10,0,0,23,0,4,0,0,3,0,0,6,11,4,3,5,4,0,0,32,8,18,6,8,8,4,0,49,0,17,11,0,10,0,0,35
5102815,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,13,6,0,3,0,4,0,0,7,3,0,0,0,0,0,0,4,5,0,0,0,3,0,0,6,0,4,0,0,9,0,0,11,4,8,3,0,7,3,0,29,4,5,9,3,13,4,0,43,0,0,0,0,5,5,0,13,25,25,12,6,44,11,0,125,5,0,0,0,0,0,0,4,5,3,0,3,0,0,0,9,0,3,0,3,0,0,0,10,0,0,3,0,0,0,0,7,3,3,0,4,3,3,0,16,4,6,5,0,8,0,0,20,3,10,0,10,7,5,0,40,6,5,7,9,22,3,0,54,0,3,3,3,6,5,0,15,28,29,29,31,45,14,0,177,5,0,0,0,0,0,0,4,11,3,0,3,3,0,0,17,10,3,3,3,0,0,0,17,9,0,3,0,4,0,0,15,7,3,0,4,7,5,0,20
5102816,0,0,0,0,0,0,0,3,3,6,0,0,3,0,0,13,3,5,0,0,3,0,0,19,10,3,3,3,3,0,0,21,3,9,0,0,0,0,0,11,5,12,3,4,6,4,0,34,3,6,8,3,15,3,0,33,5,6,3,0,19,6,0,44,0,3,0,0,9,0,0,14,36,57,20,7,63,14,0,190,3,0,0,0,4,0,0,10,0,0,0,0,0,0,0,6,3,6,3,0,0,3,0,16,6,3,0,6,3,0,0,16,3,5,5,3,7,0,0,21,6,3,11,6,0,0,0,32,5,8,13,17,9,0,0,48,0,13,9,6,22,11,0,60,0,3,0,0,25,3,0,39,31,50,40,39,73,26,0,250,3,4,0,0,4,0,0,16,3,9,0,0,10,0,0,22,5,11,3,0,9,3,0,35,10,6,6,5,3,0,0,40,3,14,5,3,10,3,0,34
5102817,4,0,0,0,3,0,0,11,3,0,0,0,3,0,0,8,6,6,0,0,5,0,0,21,11,4,0,0,8,0,0,23,4,8,4,0,3,0,0,18,4,4,0,0,9,0,0,23,6,8,3,3,8,3,0,37,3,4,4,0,7,5,0,21,0,0,0,0,0,0,0,3,48,38,14,9,56,17,0,170,0,0,0,0,3,0,0,3,4,6,0,3,3,0,0,15,9,7,0,3,5,0,0,24,4,9,0,3,6,3,0,21,3,7,5,0,3,0,0,18,6,9,3,0,7,4,0,34,7,11,9,10,13,3,3,53,3,8,0,0,16,10,0,35,0,0,3,0,3,0,0,11,34,52,16,19,63,21,3,210,4,0,0,0,6,3,0,11,6,5,0,3,9,0,0,26,15,13,3,10,12,0,0,46,12,13,3,3,10,3,0,39,8,13,9,0,5,0,0,42
5102818,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,10,7,8,0,0,6,0,0,16,6,3,0,0,5,0,0,13,5,4,3,3,4,3,0,21,10,11,3,0,3,0,0,30,6,5,3,0,4,0,0,26,0,5,0,3,6,0,0,16,0,3,0,0,0,0,0,8,35,41,12,8,34,10,0,138,4,3,0,0,4,0,0,19,0,3,0,3,4,3,0,18,0,3,0,0,0,3,0,17,0,4,3,0,4,0,0,14,5,3,3,5,0,0,0,19,0,10,9,4,6,3,0,36,0,7,3,8,8,3,0,23,0,0,0,4,9,3,0,18,0,3,0,0,3,3,0,12,16,41,23,26,36,10,0,165,4,5,0,0,4,0,0,21,3,3,0,3,5,3,0,24,7,14,0,0,6,3,0,31,9,9,5,0,11,0,0,26,7,8,9,6,3,3,0,42
5102819,3,0,0,0,5,0,0,10,8,3,0,0,7,0,0,16,8,5,4,0,5,4,0,31,5,3,0,0,3,0,0,11,6,3,0,0,15,3,0,30,7,7,3,0,4,3,0,22,12,12,5,9,10,9,0,51,3,3,0,0,7,3,0,14,0,0,0,0,0,0,0,3,57,35,15,9,58,16,0,189,3,0,0,0,9,0,0,8,0,3,0,0,4,0,0,12,3,12,3,3,4,0,0,22,0,4,0,9,6,5,0,28,4,18,5,5,9,0,0,38,5,10,3,5,3,0,0,27,6,7,6,14,12,4,0,49,0,3,4,0,6,4,0,17,0,0,0,0,0,3,0,3,27,56,20,37,50,14,3,209,8,0,0,0,15,0,0,22,7,6,0,0,10,0,0,30,11,17,3,3,15,4,0,56,9,11,0,9,7,5,0,39,15,20,5,5,16,4,0,66
5102820,4,3,0,0,4,0,0,12,0,4,0,0,0,0,0,4,3,3,0,0,0,0,0,5,4,0,4,0,4,3,0,14,4,3,5,0,4,0,0,16,5,3,0,3,8,0,0,26,3,4,0,3,7,3,0,24,3,3,0,0,11,0,0,21,0,0,0,0,13,0,0,10,27,27,8,8,53,10,0,138,0,5,0,0,5,0,0,11,3,0,0,0,0,0,0,7,0,0,4,0,0,0,0,8,0,4,4,5,3,3,0,23,0,7,3,0,0,0,0,13,0,3,3,7,0,0,0,14,0,9,8,5,13,3,0,32,0,4,0,7,9,0,0,30,0,0,0,3,19,0,0,25,10,33,27,26,55,12,4,162,3,10,0,0,8,0,0,23,3,6,0,0,3,0,0,10,0,3,4,0,3,0,0,17,4,3,8,5,9,3,3,43,4,6,9,0,6,0,0,27
5102821,0,0,0,0,3,0,0,3,4,3,0,0,5,3,0,13,8,7,4,0,10,3,0,35,3,7,4,4,5,10,0,35,8,6,3,0,3,3,0,29,7,5,5,0,12,6,0,34,0,6,3,3,9,4,0,23,0,3,3,0,3,4,0,13,0,0,3,5,0,3,0,12,26,42,24,8,57,35,0,195,0,0,0,0,0,3,0,5,3,4,3,0,0,0,0,15,3,5,5,4,5,3,0,28,0,6,5,3,0,0,0,18,0,7,0,0,4,0,0,19,3,8,6,8,8,6,0,38,0,9,4,9,0,8,0,26,0,3,0,6,4,4,0,20,0,0,3,3,0,6,0,14,16,52,24,32,31,30,3,180,0,3,0,0,4,4,0,13,5,5,3,0,9,5,0,30,9,19,7,4,14,6,0,55,3,14,5,4,9,10,0,51,9,13,6,0,9,3,0,47
5102822,3,0,0,0,6,0,0,15,0,0,0,0,3,0,0,7,0,3,0,0,4,0,0,10,4,0,0,0,11,0,0,17,4,10,0,0,0,0,0,17,0,4,3,3,7,0,0,15,3,6,0,0,6,3,0,15,3,3,0,0,3,3,0,10,0,0,0,0,3,0,0,3,21,25,4,3,42,11,0,111,9,0,0,0,0,0,0,10,3,0,0,0,0,0,0,9,0,0,3,5,3,0,0,7,3,3,3,9,0,0,0,19,0,4,0,3,0,0,0,16,4,4,0,3,3,0,0,16,0,6,3,9,3,0,0,23,3,0,0,4,3,0,0,11,0,0,0,0,0,0,0,0,15,30,14,34,18,7,0,106,10,0,0,0,6,0,0,21,3,4,0,0,3,0,0,11,3,3,3,5,7,0,0,19,8,8,3,10,10,0,0,34,4,19,0,3,8,0,0,33
5102823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5102824,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,4,0,0,3,0,13,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,3,3,4,0,0,12,3,0,25,3,0,0,0,15,3,0,26,0,0,0,0,4,4,0,10,13,8,3,0,43,10,0,82,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,3,0,0,0,0,7,0,3,0,0,0,0,0,9,0,0,3,0,4,3,0,7,3,8,4,4,16,4,0,33,0,0,3,0,22,13,0,44,0,0,0,0,18,3,0,30,9,14,12,10,66,19,0,135,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,11,0,4,3,0,0,3,0,18,0,3,0,0,3,0,0,15
5102825,7,3,0,0,4,0,0,15,0,3,0,0,4,0,0,9,14,9,0,3,3,0,0,23,3,11,3,0,6,0,0,23,4,0,3,0,9,0,0,20,3,6,0,0,8,0,0,20,3,4,4,0,3,0,0,15,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,38,31,12,8,38,3,0,133,4,0,0,0,3,0,0,12,6,3,0,0,0,0,0,9,3,17,4,3,3,0,0,33,3,3,8,5,0,0,0,23,6,6,7,3,3,0,0,24,4,3,5,4,4,0,0,19,0,7,6,3,0,0,0,24,0,0,0,3,5,0,0,8,0,0,0,0,0,0,0,0,25,46,31,33,21,3,0,149,9,3,0,0,9,0,0,23,8,6,0,0,3,0,0,19,16,23,6,7,6,0,0,57,8,13,6,9,7,0,0,43,13,8,9,4,16,0,0,45
5102826,3,0,0,0,5,0,0,7,5,0,0,0,3,0,0,3,3,5,0,0,5,0,0,14,5,0,0,0,0,0,0,3,7,3,0,0,4,0,0,16,6,5,3,0,3,0,0,15,3,4,3,0,10,0,0,14,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,27,22,9,0,24,3,0,86,5,3,0,0,6,0,0,18,4,3,0,0,0,0,0,9,3,9,3,3,3,0,0,15,0,3,3,4,5,0,0,15,3,0,10,3,0,0,0,20,0,8,4,6,3,0,0,24,0,9,3,6,5,0,0,22,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,24,35,23,17,24,3,3,129,8,0,0,0,11,0,0,22,7,3,0,0,0,0,0,14,10,14,3,3,6,0,0,30,3,3,4,4,5,0,0,20,6,11,7,3,3,3,0,34
5102827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5102828,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,14,3,3,0,0,0,0,0,6,3,0,0,0,0,0,0,3,10,9,0,0,0,0,0,20,4,8,3,3,16,0,0,37,0,3,0,0,21,0,0,27,0,0,0,0,16,0,0,16,31,26,11,6,60,0,0,131,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,5,3,0,5,4,0,0,0,13,0,3,0,7,3,0,0,12,0,6,3,0,0,0,0,13,7,11,6,3,3,0,0,28,0,10,6,8,12,0,0,37,0,3,3,3,35,0,0,40,0,0,0,0,51,0,0,54,20,34,24,22,103,3,0,204,7,0,0,0,3,0,0,8,0,6,0,0,0,0,0,8,9,7,4,4,6,0,0,23,3,10,0,7,3,0,0,22,3,6,5,0,0,0,0,15
5102829,0,0,0,0,6,3,0,15,5,0,0,0,3,0,0,13,3,5,0,0,6,3,0,19,3,3,0,0,6,3,0,16,0,8,3,0,9,7,0,24,7,3,0,3,10,7,0,23,0,0,0,0,10,3,0,15,3,0,0,0,3,0,0,7,0,0,0,0,0,0,0,3,26,29,9,8,45,26,0,141,6,3,0,0,3,0,0,12,0,3,0,0,3,0,0,9,3,5,0,4,0,3,0,20,0,9,3,7,8,4,0,36,0,9,3,3,8,6,0,32,5,3,7,5,13,3,0,33,4,0,0,0,7,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,33,14,22,36,22,0,153,10,5,0,0,9,5,0,31,6,3,0,5,5,3,0,26,6,13,3,4,4,3,0,32,4,14,3,7,13,11,0,50,0,15,7,8,15,9,0,51
5102830,8,0,0,0,3,0,0,8,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0,7,4,12,0,0,3,0,0,22,16,7,3,0,4,0,0,28,9,19,3,0,9,0,0,50,4,11,7,0,14,0,0,43,3,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,51,55,12,3,45,0,0,175,8,0,0,0,3,0,0,8,8,3,0,0,0,0,0,5,0,0,3,3,3,0,0,12,0,8,6,7,0,0,0,22,7,18,3,3,5,0,0,44,5,14,17,9,8,0,0,53,0,7,8,11,10,0,0,33,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,23,53,43,29,24,3,3,181,9,0,0,0,8,0,0,15,10,3,0,0,0,0,0,13,4,0,3,3,4,0,0,17,4,14,13,6,4,0,0,41,23,30,8,3,6,0,0,74
5102901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,7,4,3,8,0,34,8,18,9,11,31,17,0,88,0,8,3,0,10,3,0,24,11,30,19,16,44,29,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,11,3,11,16,11,11,8,0,63,5,17,14,18,30,28,0,106,0,3,3,4,5,11,0,29,9,37,33,35,52,44,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
