SA1_7DIGITCODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
5100226,0,0,0,55,59,120,0,0,0,4,6,11,0,0,0,12,26,44,4,0,4,0,0,0,3,4,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,3,10,0,3,3,0,4,3,3,3,7,7,4,9,0,0,0,92,120,214,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,45,106,0,0,0,0,0,0,68,50,114,12,15,26,0,0,0,172,181,358
5100227,0,0,0,17,18,40,0,0,0,0,0,0,0,0,0,9,20,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,3,6,0,0,0,0,0,0,36,42,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,35,0,0,0,0,0,0,24,9,35,0,0,0,0,0,0,61,57,117
5100229,0,0,0,53,46,101,0,0,0,0,4,6,0,0,0,40,48,86,3,0,3,0,0,0,3,4,5,0,0,0,0,3,4,0,0,0,0,0,3,0,0,0,7,3,8,0,0,0,0,0,0,3,12,15,4,3,11,0,4,7,111,139,249,0,0,0,3,0,3,0,3,4,0,0,0,0,0,0,0,3,3,0,3,3,138,125,261,0,0,0,0,0,0,138,125,261,32,25,54,0,3,7,281,298,584
5100230,0,0,0,39,91,130,0,0,0,0,0,0,0,0,0,28,32,62,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,11,0,0,0,0,0,0,7,14,15,3,3,5,0,0,0,83,142,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,71,0,0,0,0,0,0,33,33,71,27,57,83,3,9,5,146,239,392
5100231,0,3,4,37,46,85,0,0,0,0,0,0,0,0,0,37,52,87,3,3,8,4,3,8,0,0,3,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,4,7,7,0,0,0,0,0,3,3,3,7,12,11,20,0,0,0,103,135,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,90,165,0,0,0,0,0,0,78,86,167,16,16,36,0,0,3,204,239,445
5100232,0,0,0,19,27,49,0,0,0,3,3,10,0,0,0,23,24,41,3,3,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,5,7,4,3,4,0,0,0,51,69,124,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,43,95,0,0,0,3,0,4,54,49,101,9,8,13,0,0,0,113,123,240
5100233,8,7,13,35,44,79,0,0,0,3,4,11,0,0,0,23,34,63,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,9,11,0,0,0,0,3,6,4,8,12,0,0,3,0,0,0,79,113,194,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,53,55,108,0,0,0,0,0,0,51,55,106,20,19,34,0,0,0,161,197,354
5100234,0,3,4,49,74,120,0,0,0,15,7,26,0,0,0,69,72,138,3,7,6,3,3,3,3,8,9,0,0,0,0,0,0,0,0,0,0,5,5,3,3,9,5,6,16,0,3,3,0,3,5,3,16,16,27,38,67,0,0,0,186,236,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,115,249,0,3,4,0,0,0,135,117,253,169,165,338,27,46,72,522,564,1090
5100235,0,3,3,45,49,93,0,0,0,3,8,9,0,0,0,33,34,59,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,3,5,0,0,0,0,0,0,10,3,9,3,4,10,0,0,0,98,104,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,93,187,4,0,3,0,3,3,98,96,194,13,29,46,0,0,0,217,237,456
5100236,0,8,5,43,51,98,0,0,0,0,4,5,0,0,0,33,40,67,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,4,9,0,0,0,0,0,0,10,20,26,6,7,16,0,0,0,103,130,233,0,0,0,6,3,5,0,0,0,0,0,0,0,0,3,0,4,7,4,4,6,102,106,207,0,0,0,0,3,3,102,112,214,20,16,31,0,0,0,230,273,505
5100237,4,6,11,62,78,146,0,0,0,9,6,14,0,0,0,43,54,98,4,5,10,4,3,9,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,8,12,0,0,0,4,4,6,7,10,19,18,9,24,0,0,0,157,196,353,3,5,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,106,103,210,0,0,3,0,5,5,105,107,213,61,53,110,32,44,74,363,408,773
5100238,3,4,7,44,46,88,0,0,0,4,13,14,0,0,0,37,38,69,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,4,8,0,0,0,0,0,0,5,6,17,0,3,4,0,0,0,106,111,215,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,51,114,0,0,0,0,0,0,65,51,114,13,14,28,3,3,4,194,176,367
5100239,0,3,4,28,34,60,0,0,0,0,0,3,0,0,0,15,21,31,0,0,3,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,3,0,0,0,5,3,3,0,0,0,0,0,0,5,0,6,0,0,3,0,0,0,58,61,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,28,58,0,0,0,0,0,0,38,28,64,20,11,31,3,0,3,115,109,223
5100240,5,4,7,29,32,57,0,0,0,0,0,3,0,0,0,25,29,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,5,3,0,0,0,3,3,8,6,6,14,18,12,35,0,0,0,88,92,177,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,70,156,0,0,0,0,0,0,79,70,151,25,24,43,0,0,6,201,196,399
5100241,3,0,3,35,40,75,0,0,0,0,0,3,0,0,0,37,43,76,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,8,5,15,7,8,8,0,0,0,83,101,185,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,84,157,0,0,0,0,0,0,75,84,157,12,21,30,5,6,9,176,208,390
5100243,0,0,0,20,34,58,0,0,0,10,10,16,0,0,0,57,60,115,5,3,7,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,10,3,4,11,0,0,0,0,0,0,14,11,22,8,11,17,0,0,0,117,141,256,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,3,73,76,148,0,3,3,0,0,0,73,77,156,10,13,25,0,0,0,208,233,433
5100244,0,3,3,35,44,78,0,0,0,5,7,17,0,0,0,46,49,93,3,3,9,0,0,0,0,0,0,0,4,4,0,3,7,0,0,0,0,0,0,0,0,3,6,0,7,0,0,0,0,3,3,10,11,17,16,13,28,0,0,0,119,139,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,79,168,0,0,0,0,0,0,85,79,166,27,27,49,0,0,3,233,250,491
