SA1_7DIGITCODE_2016,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr,P_Yr_9_eq_Tot
5106702,0,5,12,7,9,3,3,0,0,43,0,0,3,8,0,0,0,0,0,15,0,3,3,3,12,3,3,0,0,27,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,3,0,0,13,4,13,20,18,33,6,10,5,0,105,0,9,14,8,7,9,3,0,0,60,0,3,7,3,5,3,0,0,0,21,3,4,4,3,9,5,5,0,3,35,0,3,0,0,3,0,0,0,0,7,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,7,0,0,21,9,19,26,18,27,20,15,4,4,145,0,15,27,20,22,6,8,0,0,100,3,3,7,8,5,3,0,3,0,36,0,6,8,9,16,10,9,0,4,65,0,3,0,4,3,0,0,0,0,9
5106703,0,4,10,11,3,3,4,0,0,43,0,0,4,8,4,0,0,0,0,14,3,4,10,13,10,9,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,25,28,14,13,9,3,0,111,6,5,8,9,3,3,3,0,0,43,0,0,6,0,3,0,0,0,0,16,0,3,3,7,8,3,3,0,0,35,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,6,11,25,27,21,12,5,7,3,112,3,15,17,25,11,11,6,0,0,89,0,0,10,8,8,0,0,0,0,33,4,3,14,17,11,8,3,0,0,77,0,0,0,0,0,0,0,0,0,4
5106704,12,17,17,12,24,8,10,0,0,89,0,0,4,0,4,8,0,0,0,16,0,0,6,4,9,10,3,0,0,37,0,0,0,3,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,21,25,20,39,31,13,3,0,157,5,23,13,24,22,16,4,0,0,110,0,3,5,3,10,0,0,0,0,20,0,0,3,5,14,9,0,3,0,31,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,8,25,21,30,53,25,12,6,0,188,12,39,28,33,41,20,13,3,0,200,0,6,7,3,15,8,0,0,0,38,0,3,7,6,23,16,7,0,0,76,0,0,3,3,0,3,0,0,0,7
5106705,8,10,17,5,14,10,4,0,0,61,3,3,3,0,0,3,0,0,0,19,0,0,0,5,19,8,6,0,0,36,0,0,0,3,0,0,7,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,13,14,18,20,37,16,17,5,0,139,3,10,12,18,18,9,3,3,0,68,0,4,0,0,7,5,0,0,0,16,0,3,0,8,20,3,7,0,0,45,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,12,6,13,15,29,46,13,19,4,3,146,11,20,29,24,27,16,6,3,0,129,4,3,3,3,11,3,0,0,0,35,0,7,3,13,35,5,13,3,0,84,0,0,0,3,0,0,4,0,0,10
5106706,7,5,4,9,12,9,0,0,0,41,3,0,0,0,0,0,0,0,0,8,0,0,0,5,10,3,3,0,0,32,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,7,14,24,13,9,3,0,93,3,5,3,11,12,3,3,0,0,46,0,0,3,0,6,0,0,0,0,10,0,0,0,11,13,5,0,3,0,33,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,18,34,12,8,8,0,93,8,12,4,14,28,7,4,0,3,85,0,0,3,3,9,0,0,0,0,20,0,0,0,14,21,15,4,3,0,66,0,0,0,0,0,0,4,0,0,11
5106707,0,3,12,12,10,3,0,0,0,35,0,4,3,6,0,0,0,0,0,12,0,0,0,3,3,3,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,9,6,9,16,17,6,6,0,0,77,3,7,14,10,5,3,3,0,0,42,0,0,0,0,0,0,3,0,0,5,0,3,3,0,7,5,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,19,8,18,10,5,0,0,70,4,7,27,17,17,5,4,0,0,78,0,4,3,5,4,0,3,0,0,14,0,3,4,3,14,9,7,0,0,38,0,0,0,0,0,0,0,0,0,3
5106708,7,4,10,10,18,11,0,0,0,65,0,0,4,3,9,0,0,0,0,19,0,3,3,7,15,9,3,0,0,40,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,9,6,11,30,38,26,10,4,0,134,3,10,19,21,18,12,5,0,0,79,0,0,0,3,9,0,0,0,0,15,0,0,0,6,22,10,3,0,0,40,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,15,34,44,16,12,0,0,143,8,14,26,34,29,19,8,0,0,147,0,0,3,11,17,3,0,0,0,37,3,3,3,11,30,21,6,3,0,78,0,0,0,3,0,0,3,0,0,3
5106709,6,12,14,18,4,3,3,0,0,64,3,3,5,3,4,4,0,0,0,23,5,7,5,8,10,8,3,0,0,51,0,0,0,0,4,3,3,0,0,11,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,11,17,23,23,37,31,23,10,3,0,169,0,12,35,21,21,9,6,0,0,112,0,3,0,3,4,0,0,0,0,15,0,0,5,4,9,10,6,3,0,41,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,6,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,4,20,40,33,34,28,16,5,0,190,9,24,49,37,22,17,10,3,0,177,3,7,10,7,6,4,0,3,0,41,3,5,12,17,21,14,8,3,0,98,0,0,0,0,4,5,3,0,0,17
5106710,6,13,31,22,17,8,0,0,0,101,0,3,10,4,0,0,0,0,0,23,3,0,9,6,18,16,10,0,0,55,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,15,20,47,34,36,23,13,4,0,197,4,14,45,33,11,10,4,3,0,123,0,4,3,6,4,4,0,0,0,21,0,0,6,10,15,11,9,0,0,54,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,18,54,47,38,32,14,6,3,212,16,25,68,51,32,16,7,3,0,219,0,6,9,9,8,3,0,3,0,45,0,4,14,15,33,31,11,3,0,108,0,0,0,0,3,3,0,0,0,11
5106711,0,4,5,7,8,8,5,0,0,39,0,3,4,5,3,3,0,0,0,22,0,0,14,5,6,0,7,0,0,34,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,3,9,24,26,25,15,9,3,3,115,3,4,12,21,9,7,4,0,0,71,0,0,4,3,8,3,0,0,0,16,0,3,3,12,8,3,7,0,0,33,0,0,3,4,0,0,0,0,0,8,0,0,0,0,0,0,0,8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,26,39,18,20,17,9,3,144,5,8,22,29,14,17,6,3,0,110,0,7,9,11,11,6,3,0,0,35,0,3,20,16,16,6,12,0,0,66,0,0,3,7,0,0,0,0,0,17
5106712,0,7,14,8,6,7,3,0,0,48,4,0,8,3,3,0,0,0,0,21,0,0,8,6,10,5,0,0,0,40,0,0,3,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,5,9,37,23,24,16,5,0,0,119,0,3,17,15,7,3,0,0,0,49,0,4,4,3,6,3,0,0,0,17,0,0,8,11,6,6,0,0,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,3,12,32,28,15,19,9,3,0,121,6,10,29,19,17,9,3,0,0,101,5,7,9,10,6,3,3,0,0,37,0,0,14,16,16,14,0,0,0,75,0,3,3,0,3,3,0,0,0,9
5106713,4,7,18,15,3,8,0,0,0,51,0,3,5,6,8,0,3,0,0,29,0,4,9,8,12,15,0,0,0,40,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,5,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,0,0,11,5,18,28,32,24,26,7,3,0,143,0,10,24,7,7,0,0,0,0,48,0,0,0,0,6,4,0,0,0,19,0,3,5,12,14,6,0,0,0,40,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,11,34,25,22,16,8,7,0,122,3,17,37,21,7,7,0,0,0,99,0,9,8,7,9,3,3,0,0,42,0,4,12,16,25,17,0,0,0,79,0,0,0,0,3,0,3,0,0,9
5106714,3,9,11,0,5,3,0,0,0,36,0,3,0,3,0,0,0,0,0,10,3,4,6,11,7,9,0,0,0,39,0,0,3,0,3,3,0,0,0,8,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,11,14,22,20,15,13,4,3,0,103,0,5,9,10,6,5,0,0,0,42,3,0,0,3,3,0,0,0,0,17,0,0,4,5,11,5,4,0,0,29,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,9,5,11,17,29,29,12,5,3,0,111,3,15,19,17,15,12,5,3,0,77,3,4,4,4,5,0,0,0,0,19,3,4,9,15,14,14,5,3,0,70,0,0,3,4,3,4,0,0,0,15
5106715,3,11,16,14,5,3,5,3,0,61,3,0,6,7,3,4,0,0,0,21,0,6,8,13,6,9,0,3,0,42,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,3,6,3,5,3,3,4,0,20,11,17,38,35,22,16,5,8,0,155,5,7,22,12,8,5,7,0,0,59,0,0,8,4,5,3,0,0,0,20,5,7,3,5,3,6,4,0,0,40,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,0,16,5,23,40,34,17,15,12,0,0,157,9,21,34,23,10,12,6,3,0,121,3,3,12,13,7,6,0,0,0,42,3,9,19,25,8,11,3,4,0,82,0,0,3,0,0,4,8,0,0,12
5106716,12,12,16,17,19,8,6,0,0,88,0,3,0,0,7,0,0,0,0,14,3,4,5,5,16,11,6,0,0,51,0,0,0,0,3,5,0,0,0,7,0,0,0,0,3,0,3,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,11,13,21,18,23,50,27,20,8,0,184,7,7,22,22,24,9,0,0,0,107,0,0,0,4,6,6,3,0,0,24,0,0,0,10,9,16,9,4,0,47,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,3,3,3,12,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,12,9,9,29,39,46,32,16,10,5,201,19,24,38,39,46,25,4,0,0,191,5,3,3,3,12,9,5,0,0,43,4,4,6,16,21,28,15,7,0,92,0,0,3,0,4,3,0,4,0,15
5106717,4,7,8,14,6,0,0,0,0,40,0,0,0,3,6,0,3,0,0,11,0,3,0,0,5,4,6,0,0,24,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,19,22,8,13,4,0,82,7,9,9,18,0,0,3,3,0,49,0,0,3,0,0,0,0,0,0,3,0,0,3,0,12,10,4,0,0,30,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,9,22,16,8,18,3,0,83,6,12,10,31,9,3,3,4,0,84,0,0,3,3,6,0,3,0,0,12,0,3,3,0,18,14,14,0,0,49,0,0,0,0,3,0,3,0,0,11
5106718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5106719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5106720,0,3,7,6,0,0,3,3,0,25,0,3,3,0,3,0,0,0,0,13,3,0,3,5,5,5,4,0,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,6,8,9,13,16,8,7,5,3,81,0,4,10,15,3,6,6,0,3,33,0,0,3,6,4,3,0,0,0,13,5,3,0,7,4,5,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,5,6,15,22,14,11,11,4,3,84,0,8,15,16,8,3,6,4,3,61,0,4,7,6,3,3,0,0,0,28,5,7,8,9,7,12,6,0,0,57,0,0,0,0,0,0,0,0,0,3
5106801,0,7,10,8,9,14,4,4,0,53,0,0,0,0,0,0,0,0,0,3,0,0,0,6,7,6,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,11,8,14,19,22,16,7,0,86,3,3,6,10,13,14,0,0,0,52,0,0,0,0,5,3,0,0,0,7,0,3,0,4,7,15,0,0,0,24,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,3,12,24,27,9,3,0,91,3,7,11,18,18,26,12,5,0,104,0,0,3,0,5,0,0,0,0,11,0,4,0,10,7,17,3,0,0,45,0,0,0,0,0,0,0,3,0,8
5106802,4,9,4,4,12,10,7,0,0,56,3,0,0,0,3,4,0,0,0,12,0,0,0,3,6,6,0,3,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,12,11,12,3,13,28,18,9,11,0,98,4,9,3,19,15,10,4,0,0,69,0,0,0,0,3,0,3,0,0,14,0,0,0,5,3,3,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,7,8,7,25,26,14,16,3,0,105,6,18,6,21,34,26,16,0,0,128,3,0,0,0,11,3,3,0,0,25,0,0,0,7,10,9,3,3,0,34,0,0,0,0,3,0,0,0,0,3
5106803,0,6,16,7,14,12,7,3,0,59,0,0,3,3,0,0,0,0,0,13,0,0,0,3,3,9,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,8,0,7,19,18,22,21,21,7,0,105,3,5,7,19,6,12,0,0,0,57,0,0,0,0,3,3,0,0,0,9,0,0,3,3,3,13,4,0,0,27,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,3,5,14,25,19,31,8,5,0,102,3,10,23,27,23,22,10,3,0,115,0,0,3,4,3,10,0,0,0,20,0,0,3,3,10,16,12,0,0,45,0,0,0,0,0,0,4,0,0,4
5106804,4,8,14,22,27,25,13,0,4,114,0,0,3,0,4,3,0,0,0,13,0,3,0,6,17,9,7,4,0,48,0,0,0,0,4,0,3,0,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,3,4,0,0,14,4,13,18,27,59,43,27,8,3,202,11,12,8,24,37,24,14,4,0,127,0,0,0,3,7,3,0,0,0,24,0,0,4,0,3,13,3,3,0,32,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,11,11,22,31,44,45,21,10,0,200,9,19,21,46,66,46,29,8,4,245,0,3,6,4,12,11,0,0,0,36,0,3,8,6,23,23,6,7,0,82,0,0,0,0,4,0,6,0,0,14
5106807,9,9,13,10,12,13,12,4,3,89,5,0,0,0,8,3,0,0,0,13,0,4,0,8,14,8,12,0,0,49,0,0,0,4,0,4,7,0,0,11,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,12,12,12,16,25,38,33,39,13,3,188,8,18,15,14,28,17,5,4,3,117,0,0,0,0,6,4,0,3,0,13,0,3,3,9,13,18,11,0,0,69,0,0,0,0,0,3,0,0,0,10,0,0,0,0,3,3,0,4,0,10,0,0,0,0,0,0,0,3,0,3,0,3,0,0,4,0,0,3,4,16,6,19,24,23,57,46,23,18,10,232,12,26,32,27,45,29,24,7,4,209,3,0,0,0,11,5,0,4,0,32,0,4,6,16,32,29,28,0,0,115,0,0,0,4,0,9,7,5,0,18
5106808,0,7,0,3,19,15,8,3,0,56,0,3,0,0,3,0,0,0,0,9,0,0,5,0,9,4,6,0,0,32,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,6,13,6,27,24,19,11,0,109,3,7,8,10,14,13,3,4,0,65,0,0,0,4,6,3,0,0,0,9,0,0,0,0,7,6,3,0,0,23,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,3,8,8,11,29,23,19,3,3,113,8,14,6,13,30,25,11,4,0,119,0,3,0,4,8,0,0,0,0,15,0,4,5,0,13,18,11,3,0,52,0,0,0,0,0,3,0,0,0,6
5106809,10,15,14,34,34,30,22,3,0,168,3,3,4,3,7,6,3,0,0,28,4,4,5,9,19,11,7,0,4,67,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,5,5,3,6,0,0,25,15,25,25,55,67,53,44,10,4,299,11,15,19,43,50,34,15,6,0,190,0,0,3,4,8,7,0,0,0,28,4,0,5,6,12,16,9,3,3,58,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,0,0,24,16,22,25,62,81,62,34,8,8,317,19,33,32,75,84,60,42,10,3,360,3,4,10,9,17,17,6,0,0,63,4,5,7,15,30,27,16,8,3,122,0,0,0,0,3,3,5,0,0,12
