SA1_7DIGITCODE_2016,M_15_19_Marr_a_reg_marr,M_15_19_Marr_a_de_facto_marr,M_15_19_yr_N_married,M_15_19_yr_Tot,M_20_24_Marr_a_reg_marr,M_20_24_Marr_a_de_facto_marr,M_20_24_yr_N_married,M_20_24_yr_Tot,M_25_34_Marr_a_reg_marr,M_25_34_Marr_a_de_facto_marr,M_25_34_yr_N_married,M_25_34_yr_Tot,M_35_44_Marr_a_reg_marr,M_35_44_Marr_a_de_facto_marr,M_35_44_yr_N_married,M_35_44_yr_Tot,M_45_54_Marr_a_reg_marr,M_45_54_Marr_a_de_facto_marr,M_45_54_yr_N_married,M_45_54_yr_Tot,M_55_64_Marr_a_reg_marr,M_55_64_Marr_a_de_facto_marr,M_55_64_yr_N_married,M_55_64_yr_Tot,M_65_74_Marr_a_reg_marr,M_65_74_Marr_a_de_facto_marr,M_65_74_yr_N_married,M_65_74_yr_Tot,M_75_84_Marr_a_reg_marr,M_75_84_Marr_a_de_facto_marr,M_75_84_yr_N_married,M_75_84_yr_Tot,M_85_over_Marr_a_reg_marr,M_85_Marr_a_de_facto_marr,M_85_yr_over_N_married,M_85_yr_over_Tot,M_Tot_Marr_a_reg_marr,M_Tot_Marr_a_de_facto_marr,M_Tot_N_married,M_Tot_Tot,F_15_19_Marr_a_reg_marr,F_15_19_Marr_a_de_facto_marr,F_15_19_yr_N_married,F_15_19_yr_Tot,F_20_24_Marr_a_reg_marr,F_20_24_Marr_a_de_facto_marr,F_20_24_yr_N_married,F_20_24_yr_Tot,F_25_34_Marr_a_reg_marr,F_25_34_Marr_a_de_facto_marr,F_25_34_yr_N_married,F_25_34_yr_Tot,F_35_44_Marr_a_reg_marr,F_35_44_Marr_a_de_facto_marr,F_35_44_yr_N_married,F_35_44_yr_Tot,F_45_54_Marr_a_reg_marr,F_45_54_Marr_a_de_facto_marr,F_45_54_yr_N_married,F_45_54_yr_Tot,F_55_64_Marr_a_reg_marr,F_55_64_Marr_a_de_facto_marr,F_55_64_yr_N_married,F_55_64_yr_Tot,F_65_74_Marr_a_reg_marr,F_65_74_Marr_a_de_facto_marr,F_65_74_yr_N_married,F_65_74_yr_Tot,F_75_84_Marr_a_reg_marr,F_75_84_Marr_a_de_facto_marr,F_75_84_yr_N_married,F_75_84_yr_Tot,F_85_over_Marr_a_reg_marr,F_85_Marr_a_de_facto_marr,F_85_yr_over_N_married,F_85_yr_over_Tot,F_Tot_Marr_a_reg_marr,F_Tot_Marr_a_de_facto_marr,F_Tot_N_married,F_Tot_Tot,P_15_19_Marr_a_reg_marr,P_15_19_Marr_a_de_facto_marr,P_15_19_yr_N_married,P_15_19_yr_Tot,P_20_24_Marr_a_reg_marr,P_20_24_Marr_a_de_facto_marr,P_20_24_yr_N_married,P_20_24_yr_Tot,P_25_34_Marr_a_reg_marr,P_25_34_Marr_a_de_facto_marr,P_25_34_yr_N_married,P_25_34_yr_Tot,P_35_44_Marr_a_reg_marr,P_35_44_Marr_a_de_facto_marr,P_35_44_yr_N_married,P_35_44_yr_Tot,P_45_54_Marr_a_reg_marr,P_45_54_Marr_a_de_facto_marr,P_45_54_yr_N_married,P_45_54_yr_Tot,P_55_64_Marr_a_reg_marr,P_55_64_Marr_a_de_facto_marr,P_55_64_yr_N_married,P_55_64_yr_Tot,P_65_74_Marr_a_reg_marr,P_65_74_Marr_a_de_facto_marr,P_65_74_yr_N_married,P_65_74_yr_Tot,P_75_84_Marr_a_reg_marr,P_75_84_Marr_a_de_facto_marr,P_75_84_yr_N_married,P_75_84_yr_Tot,P_85_over_Marr_a_reg_marr,P_85_Marr_a_de_facto_marr,P_85_yr_over_N_married,P_85_yr_over_Tot,P_Tot_Marr_a_reg_marr,P_Tot_Marr_a_de_facto_marr,P_Tot_N_married,P_Tot_Tot
5100111,0,0,6,6,0,0,3,8,6,4,5,15,8,8,11,25,9,10,8,24,20,3,4,26,12,3,6,22,6,0,0,6,0,0,0,0,62,23,40,127,0,0,5,5,0,0,4,9,5,4,3,17,8,3,3,17,16,8,0,17,19,5,8,32,9,0,3,15,3,0,3,5,0,0,0,0,61,19,37,118,0,0,9,9,0,3,7,9,15,5,7,32,14,10,14,40,23,10,8,42,39,3,11,55,26,3,6,37,5,0,3,11,0,0,0,0,122,49,73,242
5100112,0,0,8,8,0,0,0,4,3,0,0,7,16,3,3,18,12,0,6,23,14,3,3,21,17,4,6,26,3,0,0,6,0,0,0,3,61,14,32,104,0,0,6,6,0,0,0,0,12,3,5,16,8,0,0,16,10,3,3,19,17,5,8,25,12,0,3,16,0,0,0,0,0,0,0,0,61,13,18,102,0,0,14,14,0,0,0,7,15,4,4,20,27,4,6,35,27,7,6,40,27,6,9,41,28,3,9,40,6,0,0,10,3,0,3,3,126,28,48,203
5100113,0,0,4,8,0,0,3,3,3,0,4,5,3,8,0,10,10,4,9,16,17,0,11,24,16,3,3,20,10,0,0,10,0,0,0,0,53,16,34,100,0,0,3,3,0,0,3,5,0,4,0,6,6,3,0,8,12,0,8,22,19,0,10,28,10,3,0,21,0,0,6,4,0,0,0,3,54,9,27,91,0,0,10,10,0,0,3,4,3,4,4,9,7,10,5,18,22,9,13,41,33,0,19,49,26,6,10,38,8,0,4,15,3,0,0,4,111,24,63,195
5100114,0,0,15,15,0,0,0,0,6,3,8,14,28,17,4,49,20,5,12,45,13,0,3,19,9,0,3,16,11,0,0,11,0,0,0,3,89,31,52,168,0,0,14,14,0,0,5,5,8,9,5,26,30,15,13,63,23,8,3,28,13,0,10,23,7,0,3,14,3,0,5,10,0,0,0,0,94,33,68,198,0,0,30,30,0,0,4,4,18,14,16,39,60,39,23,115,40,15,16,75,26,3,13,39,22,0,6,31,11,0,9,19,0,0,0,5,176,68,121,362
5100115,0,0,4,4,0,0,0,0,0,3,8,15,12,10,5,27,15,0,3,18,19,0,6,34,11,0,11,27,8,0,0,11,0,0,0,0,74,16,43,134,0,0,9,9,0,0,4,6,7,3,0,15,18,4,4,28,19,0,3,22,16,6,9,25,16,0,5,17,6,0,4,11,0,0,0,0,74,20,37,126,0,0,11,11,0,3,4,11,5,12,8,24,27,18,13,54,27,0,8,42,36,7,13,60,27,0,11,43,11,0,5,19,0,0,3,3,143,39,83,259
5100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100202,0,0,4,4,0,0,4,5,3,4,0,5,6,0,3,11,3,0,0,4,4,0,3,8,26,0,3,26,39,0,5,40,11,3,7,18,87,10,30,130,0,0,4,4,4,0,0,4,4,3,3,10,3,3,3,10,3,0,3,10,14,0,4,18,28,0,11,44,30,0,26,58,3,0,12,14,91,6,68,163,0,0,5,5,4,3,3,6,4,7,6,12,10,4,8,22,5,3,3,10,17,0,7,23,51,0,19,68,71,0,25,96,13,6,18,40,183,19,91,295
5100203,0,0,23,23,0,0,3,6,0,5,3,15,22,3,0,25,23,4,4,38,23,3,4,26,14,0,4,22,3,0,3,3,0,0,0,3,95,21,48,156,0,0,11,18,0,0,3,4,4,8,3,16,28,9,0,38,26,3,3,37,20,4,7,28,13,0,8,22,3,0,0,3,0,0,0,0,97,19,36,160,0,0,36,33,0,3,11,12,8,13,6,31,58,5,3,63,49,9,11,74,37,5,10,52,30,0,10,40,8,0,3,7,0,0,0,3,192,40,83,316
5100204,0,0,13,21,0,0,12,9,3,10,6,21,7,3,4,16,19,0,8,25,13,0,3,23,8,0,3,13,6,0,3,9,3,0,3,3,61,22,53,139,0,3,16,15,0,0,5,5,5,7,10,23,10,7,12,28,20,4,10,31,14,3,9,22,9,0,8,15,5,0,7,14,0,0,3,3,65,22,74,154,0,6,31,34,0,3,16,16,8,18,21,44,16,7,17,43,37,4,11,53,28,8,13,45,17,0,10,29,16,0,12,25,3,0,5,7,119,43,125,292
5100205,0,0,13,13,0,0,6,6,3,0,5,3,17,3,0,20,25,0,4,33,15,0,0,20,12,0,3,19,3,0,0,6,0,0,0,0,78,3,38,119,0,0,22,22,0,0,5,4,0,0,0,0,15,0,0,16,33,0,5,36,23,3,0,21,12,0,6,17,7,0,3,5,0,0,0,0,85,6,41,130,0,0,36,36,0,0,14,13,5,0,5,10,31,3,4,33,62,0,8,67,39,3,0,42,26,0,9,35,5,0,8,12,0,0,0,0,162,11,77,246
5100206,0,0,8,8,0,0,9,6,3,3,3,13,9,5,8,19,7,3,4,15,3,0,6,12,17,0,8,24,14,0,7,22,3,0,4,11,57,12,62,132,0,0,6,6,0,0,4,8,8,0,7,19,15,3,7,24,6,3,11,18,8,0,17,25,13,0,21,38,15,0,18,30,0,0,18,16,65,11,123,192,0,0,16,16,0,3,13,13,17,4,16,32,25,8,13,42,9,5,17,34,12,0,22,35,31,0,33,65,29,0,23,47,3,0,25,29,123,16,180,325
5100207,0,0,3,3,0,0,9,11,3,4,5,16,9,0,4,19,4,0,5,9,14,4,4,22,10,0,3,8,14,0,3,18,3,0,0,4,47,10,42,108,0,0,7,7,0,3,3,6,3,9,3,10,11,0,8,25,3,0,14,18,16,4,10,29,6,0,8,19,5,0,7,20,0,0,4,4,50,11,70,133,0,0,15,15,0,3,7,10,4,9,13,27,21,0,19,41,10,0,16,26,25,8,17,48,13,0,15,31,16,0,11,31,3,0,3,7,96,29,113,244
5100209,0,0,6,6,0,0,14,11,5,5,15,29,8,0,5,18,12,0,14,22,14,4,12,32,20,0,14,30,10,0,3,16,3,0,0,5,70,11,85,164,0,3,4,7,0,0,7,11,8,4,3,19,5,3,7,23,13,0,17,29,21,0,12,32,16,0,13,29,6,0,21,26,0,0,12,12,76,10,99,182,0,3,9,14,3,0,20,21,18,7,19,46,18,3,19,39,23,6,30,54,36,4,22,66,33,0,26,58,19,0,23,39,3,0,10,10,141,25,176,349
5100213,0,0,11,10,0,0,0,0,0,0,0,4,7,4,3,15,11,6,4,25,5,3,4,13,5,0,5,13,4,0,0,4,5,0,0,3,41,15,36,89,0,0,9,10,0,0,6,6,3,3,3,8,7,0,18,23,12,7,10,27,9,4,3,18,9,0,6,12,5,0,8,12,0,0,0,0,44,16,58,114,0,4,16,18,0,0,4,4,5,4,4,13,15,6,20,37,23,10,13,52,18,9,10,35,14,0,13,25,7,0,4,13,5,0,3,3,83,27,91,204
5100214,0,0,29,29,0,4,8,11,15,8,7,25,26,8,6,39,33,6,5,46,20,3,0,22,21,3,3,34,4,0,3,12,3,0,0,3,123,35,60,216,0,0,21,21,0,0,14,22,16,9,7,33,32,5,5,45,37,10,10,60,25,0,7,33,21,0,8,30,3,3,3,9,0,0,0,0,132,41,79,249,0,0,49,49,3,7,27,35,30,14,14,56,59,17,8,84,65,17,13,102,45,3,7,56,38,7,12,60,15,0,6,24,3,0,0,4,252,71,139,461
5100216,0,0,10,10,0,0,7,7,4,5,13,18,11,5,3,15,11,4,9,20,14,5,5,25,15,0,7,20,10,0,5,12,3,0,0,9,61,19,58,135,0,0,15,15,0,3,6,7,5,3,6,16,11,3,9,26,15,4,19,32,16,3,18,34,16,0,3,19,4,0,12,21,0,0,4,4,63,19,92,174,0,0,25,25,0,3,15,15,8,6,16,30,18,10,11,43,24,9,23,52,24,3,26,53,29,0,7,39,17,0,14,34,3,0,11,12,129,40,146,309
5100217,0,0,3,3,0,0,0,0,3,5,7,21,13,3,9,24,6,0,9,21,10,3,3,16,9,0,3,14,5,0,3,9,0,0,0,3,50,19,36,103,0,0,7,7,0,0,7,7,8,9,3,16,7,6,3,18,12,7,8,24,15,3,13,23,11,0,3,14,0,0,7,6,0,0,3,5,52,19,51,119,0,0,12,12,0,0,4,6,14,17,11,37,18,7,6,35,12,3,18,42,26,5,14,45,18,0,7,27,3,0,11,18,3,0,7,7,102,39,91,231
5100218,0,0,6,6,0,0,4,10,3,3,4,13,7,4,3,14,4,3,9,16,11,3,3,14,5,0,4,9,12,0,3,16,0,0,3,0,45,14,37,99,0,0,6,6,0,4,0,9,5,3,0,11,4,4,7,18,3,3,7,12,9,0,10,15,8,0,3,16,8,0,6,12,0,0,0,0,41,18,37,99,0,0,16,16,0,4,8,16,10,8,9,21,11,12,7,33,7,5,19,29,25,3,7,35,14,0,7,19,23,0,7,26,0,0,3,0,84,27,74,194
5100219,0,0,9,9,0,3,3,3,5,3,13,21,10,5,3,18,11,10,5,21,10,4,5,24,32,0,6,34,3,0,5,13,3,0,0,3,72,24,55,143,0,0,8,8,0,0,9,11,8,4,11,22,9,3,0,17,15,3,9,30,17,3,15,31,25,3,8,42,0,0,12,16,3,0,7,10,75,22,80,183,0,0,12,12,0,4,6,11,19,10,21,46,23,7,6,32,25,12,18,50,28,5,19,56,54,7,19,75,6,0,17,23,5,0,9,13,153,39,133,329
5100220,0,0,11,11,0,4,11,15,3,4,8,19,7,7,10,25,8,4,8,16,25,0,5,26,23,0,6,27,12,0,11,18,7,0,4,12,80,21,73,178,0,0,5,5,0,0,9,12,9,7,10,27,8,8,11,21,6,0,16,22,28,0,17,47,22,0,11,34,10,0,20,33,3,0,23,19,81,20,115,217,0,0,17,17,0,7,14,19,14,14,24,47,15,11,23,46,19,4,25,43,53,4,15,69,37,0,23,58,23,0,29,54,12,0,25,36,162,36,194,394
5100222,0,0,10,9,0,0,9,9,3,0,3,12,18,6,0,24,28,0,0,28,26,3,3,34,15,0,0,18,7,0,0,7,0,0,0,0,104,12,31,145,0,0,16,16,0,0,7,9,6,0,3,4,27,3,0,36,37,4,0,41,16,3,3,22,19,0,6,24,9,0,3,10,0,0,0,0,111,11,41,165,0,0,27,31,0,0,18,16,9,3,7,20,51,7,3,57,70,8,3,73,43,6,8,53,33,0,4,41,13,0,3,12,0,0,0,0,214,20,71,302
5100223,0,0,12,12,0,0,10,13,0,0,4,4,6,3,0,15,18,4,3,29,13,0,0,12,13,0,0,13,5,0,0,3,0,0,0,0,61,13,31,109,0,0,11,11,0,0,3,8,5,0,4,8,9,3,3,18,27,4,3,34,11,0,0,14,15,0,3,15,0,0,4,4,0,0,0,0,61,9,33,105,0,0,23,23,0,3,10,18,5,0,9,11,16,7,9,31,46,12,4,65,20,0,3,27,29,0,3,27,5,0,3,6,0,0,0,0,122,22,62,212
5100224,0,0,12,12,0,0,14,18,7,0,8,11,13,7,3,27,10,4,0,12,20,0,8,25,12,3,0,16,3,0,3,9,0,0,0,0,68,12,53,132,0,0,13,16,0,0,9,9,6,5,4,12,22,4,5,35,9,3,3,16,21,3,5,31,10,0,0,9,3,0,3,5,0,0,3,3,75,10,48,131,0,0,29,28,0,0,22,24,7,3,15,22,31,7,11,59,22,8,4,33,44,3,10,56,22,3,4,28,7,0,8,15,0,0,3,3,140,25,100,262
5100226,0,0,13,12,0,0,4,4,0,3,3,6,14,7,3,17,18,9,4,28,21,0,3,20,18,3,3,25,8,0,3,12,0,0,0,0,73,19,35,130,0,0,16,16,0,3,7,11,3,8,0,9,11,5,3,22,18,5,3,25,24,3,5,36,14,0,5,19,4,0,7,7,0,0,4,3,76,25,45,139,0,0,28,27,0,3,10,11,3,9,3,10,26,5,3,38,29,15,10,54,45,3,8,53,25,5,12,42,13,0,9,21,4,0,4,6,149,40,79,269
5100227,0,0,7,7,0,0,3,3,0,4,0,3,5,0,0,5,6,3,3,12,5,0,0,7,6,0,0,7,0,0,0,0,0,0,0,0,23,10,10,44,0,0,3,3,0,0,0,0,4,4,0,9,4,0,0,4,13,3,0,15,9,0,0,9,5,0,0,5,0,0,0,0,0,0,0,0,28,7,7,44,0,0,10,10,0,0,5,3,3,9,3,10,17,0,0,17,19,5,4,27,11,0,0,11,8,0,3,14,0,0,0,3,0,0,0,0,52,15,20,88
5100229,0,4,13,20,0,3,4,7,17,11,7,29,21,5,5,33,24,3,0,30,16,3,3,25,13,3,0,16,10,0,3,12,0,0,0,0,98,29,33,166,0,3,21,28,0,9,3,8,19,9,5,29,30,4,14,44,25,4,5,39,13,4,3,27,10,0,11,20,6,0,0,10,0,0,5,3,108,37,64,208,0,6,40,41,0,10,8,19,31,13,13,58,48,11,17,80,52,8,5,68,29,11,8,47,23,3,11,33,15,0,3,19,0,0,5,4,203,64,98,375
5100230,0,0,3,3,0,0,0,0,0,3,0,3,6,0,0,7,11,0,0,15,12,0,0,15,14,0,3,20,6,0,8,17,10,0,11,14,56,3,28,90,0,0,6,6,0,0,0,0,3,3,0,7,7,0,0,9,9,0,3,12,10,0,0,13,13,0,3,19,11,0,18,31,7,0,13,20,57,8,50,117,0,0,10,10,0,3,0,4,0,4,0,7,17,0,3,18,22,0,4,21,26,0,0,24,27,3,7,39,22,0,24,48,14,0,23,39,117,13,76,205
5100231,0,0,10,10,0,0,6,4,5,4,5,20,20,3,5,26,22,0,4,28,24,3,0,25,18,0,0,18,5,0,0,7,0,0,0,0,100,17,30,146,0,0,17,16,0,3,5,10,11,5,3,27,33,3,4,36,20,0,10,24,25,0,5,28,18,3,0,20,3,0,0,3,0,0,3,3,111,18,46,170,0,0,31,27,0,3,11,16,21,12,9,43,55,8,6,66,42,3,14,58,49,3,9,58,39,3,0,41,6,0,0,6,0,0,3,3,210,28,75,319
5100232,0,0,12,12,0,0,3,3,5,3,0,6,11,3,0,15,6,3,0,13,12,3,3,13,15,0,0,17,3,0,0,3,0,0,0,0,52,11,19,82,0,0,8,8,0,0,3,3,7,0,3,10,17,5,0,17,8,4,4,16,12,0,11,24,12,0,0,16,0,0,0,3,0,0,3,3,58,11,31,97,0,0,15,15,0,0,5,5,8,3,6,16,24,5,0,37,16,9,5,28,22,4,13,36,32,5,3,38,4,0,0,6,0,0,3,3,110,24,47,185
5100233,0,0,15,15,0,0,4,3,4,0,4,11,11,7,3,23,9,0,10,20,16,3,8,29,12,0,0,14,8,0,3,13,0,0,3,0,63,15,44,126,0,0,10,10,0,3,3,7,12,5,9,26,15,0,3,22,14,0,5,19,18,3,9,28,15,0,6,20,3,0,5,12,0,0,6,6,74,19,67,153,0,0,23,23,4,3,5,13,16,6,16,38,24,9,9,39,23,0,12,38,31,9,16,54,28,0,7,38,13,0,12,19,0,0,7,8,140,30,109,273
5100234,0,0,11,11,0,7,10,17,11,14,19,43,18,4,15,38,16,3,3,24,16,0,11,30,12,0,8,18,7,0,0,11,4,0,0,4,78,38,81,197,0,0,15,20,0,10,8,23,22,15,15,54,26,8,6,43,8,3,9,22,20,3,7,28,11,0,3,18,3,0,3,10,0,0,4,3,92,45,80,216,0,0,34,30,0,24,23,40,27,31,32,98,47,15,25,83,22,4,17,42,33,4,18,59,26,4,9,35,8,0,7,16,3,0,3,5,171,84,158,412
