SA1_7DIGITCODE_2016,Preschool_M,Preschool_F,Preschool_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infants_Prim_Other_Non_Govt_M,Infants_Prim_Other_Non_Govt_F,Infants_Prim_Other_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tech_Ftime_stud_15_24_yr_M,Tech_Ftime_stud_15_24_yr_F,Tech_Ftime_stud_15_24_yr_P,Tech_Ftime_stud_25_yr_over_M,Tech_Ftime_stud_25_yr_over_F,Tech_Ftime_stud_25_yr_over_P,Tech_Ptime_stud_15_24_yr_M,Tech_Ptime_stud_15_24_yr_F,Tech_Ptime_stud_15_24_yr_P,Tech_Ptime_stud_25_yr_over_M,Tech_Ptime_stud_25_yr_over_F,Tech_Ptime_stud_25_yr_over_P,Tech_Full_Ptime_stud_st_ns_M,Tech_Full_Ptime_stud_st_ns_F,Tech_Full_Ptime_stud_st_ns_P,Tech_Furth_Educ_Instit_Tot_M,Tech_Furth_Educ_Instit_Tot_F,Tech_Furth_Educ_Instit_Tot_P,Uni_oth_Inst_Ft_stu_15_24_M,Uni_oth_Inst_Ft_stu_15_24_F,Uni_oth_Inst_Ft_stu_15_24_P,Uni_oth_Instit_Ft_stu_25_M,Uni_oth_Instit_Ft_stu_25_F,Uni_oth_Instit_Ft_stu_25_P,Uni_oth_Instit_Pt_stu_15_24_M,Uni_oth_Instit_Pt_stu_15_24_F,Uni_oth_Instit_Pt_stu_15_24_P,Uni_oth_Instit_Pt_stu_25_M,Uni_oth_Instit_Pt_stu_25_F,Uni_oth_Instit_Pt_stu_25_P,Uni_oth_Inst_F_Pt_stu_st_ns_M,Uni_oth_Inst_F_Pt_stu_st_ns_F,Uni_oth_Inst_F_Pt_stu_st_ns_P,Uni_oth_Inst_Tot_M,Uni_oth_Inst_Tot_F,Uni_oth_Inst_Tot_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
5100111,3,3,3,11,6,16,0,0,4,3,3,5,17,13,25,12,7,15,0,0,0,0,0,0,12,4,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,0,0,0,0,3,15,12,27,4,3,4,53,38,92
5100112,0,0,0,14,8,23,0,4,4,0,4,3,15,9,30,4,10,16,0,0,3,4,4,9,9,16,23,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,29,24,57,12,11,20,71,64,136
5100113,0,0,3,3,8,10,0,0,0,0,4,3,3,13,17,8,0,12,0,0,0,0,0,0,8,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8,12,15,3,3,4,37,34,65
5100114,7,4,12,37,27,60,0,0,0,3,3,3,39,29,68,12,20,29,3,9,12,6,5,12,20,32,55,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,3,5,9,0,0,0,0,4,4,0,0,0,0,3,3,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,18,25,43,0,0,7,93,102,197
5100115,0,3,3,10,7,21,3,3,9,0,7,10,16,13,30,6,12,16,0,0,3,6,0,3,12,14,21,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,4,0,0,0,4,0,5,11,13,24,0,9,8,41,53,98
5100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100202,0,0,0,0,0,0,0,3,3,0,0,0,7,3,10,6,3,11,0,0,4,4,4,5,6,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,61,95,0,3,3,41,77,123
5100203,8,0,10,13,22,39,7,4,7,4,16,16,24,40,63,15,11,29,3,4,8,4,0,3,19,18,40,3,0,3,0,0,0,0,0,0,0,3,6,0,0,0,8,5,15,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,4,3,3,3,0,0,0,0,0,0,3,3,3,12,10,22,3,4,3,73,84,159
5100204,4,0,4,11,22,36,0,0,0,6,0,8,22,24,40,13,13,26,3,8,11,3,3,4,19,22,40,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,26,24,47,0,3,4,66,80,147
5100205,0,0,3,3,10,16,0,4,10,4,6,11,15,22,38,5,3,7,9,11,19,3,11,14,21,27,42,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,11,15,0,0,0,49,62,111
5100206,3,6,9,17,11,27,3,0,4,0,0,3,21,9,29,9,9,11,3,0,3,0,0,0,5,9,19,0,0,0,0,4,4,3,0,3,3,4,7,0,0,0,3,6,10,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,6,3,0,3,0,3,3,0,0,0,3,3,4,11,16,30,0,0,0,46,56,106
5100207,0,0,0,9,8,16,0,0,4,3,5,6,15,12,27,4,10,12,0,0,4,0,0,0,13,8,22,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,7,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,7,11,23,0,0,0,37,47,78
5100209,0,0,0,7,5,12,3,6,5,3,3,3,7,16,27,4,3,6,7,7,10,3,3,4,13,7,21,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,7,5,0,0,0,3,0,3,0,0,0,3,0,6,0,0,0,6,4,6,3,0,3,0,0,0,0,0,0,3,0,3,31,49,77,3,4,8,73,84,155
5100213,3,0,3,8,0,6,7,0,5,0,4,5,16,5,21,4,8,15,4,6,12,0,3,3,10,11,21,0,0,0,0,0,0,3,0,4,0,3,3,0,0,0,5,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,16,4,0,4,38,41,76
5100214,0,8,7,17,15,32,12,16,27,8,14,23,36,49,82,17,9,27,8,11,24,9,11,20,42,31,73,0,0,0,0,0,0,0,0,0,3,7,6,0,0,0,3,9,14,0,7,12,0,3,3,0,0,0,0,6,6,0,0,0,3,16,20,0,0,0,0,0,4,0,0,0,0,3,3,11,11,22,0,0,0,96,128,219
5100216,0,0,0,19,13,32,0,3,9,3,0,4,17,22,40,7,10,14,3,3,3,3,0,3,11,14,22,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,3,3,20,28,45,0,0,0,61,74,134
5100217,0,0,0,12,13,24,0,0,0,0,0,0,14,10,26,6,8,14,0,0,3,0,0,0,8,8,17,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,11,0,0,0,28,34,59
5100218,0,0,0,4,3,7,3,0,3,3,0,3,8,3,12,5,6,12,0,0,0,0,0,0,5,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,17,17,34
5100219,0,0,4,3,5,6,3,0,4,7,8,9,10,12,24,6,4,10,0,0,5,3,3,5,12,9,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,6,8,0,0,0,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,11,9,17,0,0,0,38,44,80
5100220,3,0,3,6,8,11,0,0,3,3,6,10,8,16,22,3,3,4,3,0,3,6,0,4,11,4,14,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,4,5,7,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,4,4,14,22,33,0,8,8,48,54,104
5100222,3,4,8,11,7,14,12,7,18,11,13,31,31,31,61,3,3,8,5,6,11,14,14,23,17,25,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0,0,0,0,0,0,3,3,4,0,0,0,3,10,13,0,0,0,0,0,0,0,0,0,0,0,0,15,5,17,0,3,0,68,81,149
5100223,5,0,3,4,7,12,3,0,0,0,3,3,10,11,17,7,5,10,4,3,7,4,3,8,14,15,21,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,11,25,0,0,0,40,40,82
5100224,0,0,0,6,18,20,4,0,3,5,4,14,19,21,37,6,10,23,0,0,3,5,12,16,20,24,37,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,14,0,0,0,44,52,97
5100226,0,0,0,0,0,0,0,3,0,12,16,26,17,15,29,3,7,8,0,0,0,10,6,18,20,8,30,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,9,16,22,0,0,0,45,50,88
5100227,0,0,0,3,7,9,0,3,3,0,0,0,8,10,16,5,0,5,0,0,3,0,0,3,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,18,17,35
5100229,3,7,10,37,18,55,12,8,17,6,5,6,48,26,74,14,18,34,6,6,11,3,0,3,27,26,51,0,3,4,0,3,3,0,0,4,8,4,8,0,0,0,10,9,17,0,3,3,0,3,3,0,0,0,0,0,4,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,13,13,26,0,3,7,99,99,200
5100230,0,0,0,4,5,8,0,0,0,0,0,3,5,7,17,3,4,3,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,13,15,27,3,9,5,23,38,63
5100231,0,0,0,19,20,37,3,10,12,4,3,3,24,26,57,6,9,15,4,3,9,9,5,9,14,18,35,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,7,0,0,0,0,0,3,0,0,0,0,3,3,9,10,19,0,0,3,55,71,134
5100232,0,0,0,3,6,9,3,3,8,3,7,8,8,13,21,13,3,11,5,0,4,0,0,0,11,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,26,21,52
5100233,3,0,8,9,4,12,4,3,4,0,0,7,10,13,25,8,11,15,0,0,0,0,7,5,8,18,23,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,12,20,0,0,0,35,56,86
5100234,7,11,18,26,21,42,3,3,8,0,4,8,26,30,54,16,9,25,0,3,6,0,5,6,22,19,35,0,0,0,5,3,4,3,0,3,0,5,5,0,0,0,4,8,15,0,12,14,0,0,0,0,0,0,0,8,8,0,0,0,3,17,19,0,9,14,3,5,5,0,0,0,3,13,18,145,150,297,27,46,72,246,290,535
5100235,0,0,0,15,11,30,0,0,0,5,4,10,18,17,35,8,11,22,4,3,8,4,5,12,17,14,36,3,0,6,0,4,4,0,0,4,3,0,3,0,0,0,4,11,15,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,9,18,30,0,0,0,64,69,130
5100236,4,3,8,34,17,51,8,9,11,0,3,9,37,26,72,15,13,34,4,6,7,3,3,8,23,17,45,0,0,0,0,0,0,3,0,0,3,0,8,0,0,0,3,5,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,3,3,0,3,5,0,0,0,0,8,6,14,16,32,0,0,0,91,86,177
5100237,6,3,10,15,6,23,3,4,4,5,3,7,21,16,32,5,7,13,3,6,9,7,3,11,12,16,35,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,6,4,9,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,7,4,0,0,0,3,3,6,0,0,0,3,3,6,52,46,97,32,44,74,134,139,266
5100238,3,0,5,13,12,26,3,3,9,11,5,15,27,24,49,5,9,12,9,5,12,0,0,4,16,14,30,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,12,7,21,3,3,4,63,54,117
5100239,0,0,0,3,3,6,3,4,5,3,0,3,10,8,16,3,5,10,5,0,7,0,0,0,12,5,16,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,27,3,0,3,37,28,67
5100240,3,0,3,10,11,16,3,3,10,7,6,12,18,14,37,12,6,23,0,7,5,5,0,5,18,12,27,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,6,9,0,0,0,3,0,5,0,0,0,0,3,3,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,3,3,22,20,45,0,0,6,72,66,135
5100241,3,7,4,11,4,15,0,4,4,0,3,6,12,16,29,5,15,24,0,0,0,3,0,4,14,12,28,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,7,7,12,0,0,0,0,4,4,0,0,0,0,3,3,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,10,14,21,5,6,9,46,66,107
5100243,4,7,9,15,17,30,8,4,13,3,9,7,25,28,53,4,13,19,7,9,15,8,12,20,20,24,47,0,0,0,0,3,3,3,4,13,0,6,6,0,0,0,3,14,15,0,3,3,0,3,5,0,0,0,0,4,4,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,5,0,3,5,7,14,0,0,0,70,93,160
5100244,5,3,11,25,22,45,4,0,8,5,5,13,33,30,62,16,21,32,4,3,12,3,3,9,23,29,51,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,3,3,0,3,3,0,0,0,0,3,7,15,12,24,0,0,3,84,79,163
5100246,0,0,0,0,0,0,0,3,6,3,5,9,9,7,12,3,0,8,0,3,3,5,0,5,9,4,14,0,0,0,0,0,0,5,0,5,3,0,3,0,0,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,3,0,0,0,0,0,3,3,3,6,0,0,0,28,24,44
5100247,0,0,3,5,3,7,0,3,3,4,0,7,8,12,20,0,3,5,0,0,0,11,4,12,13,9,22,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,11,13,26,0,0,3,36,42,74
5100249,3,0,3,0,8,14,0,0,4,0,4,7,4,20,24,5,4,11,7,3,10,3,0,6,18,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,18,21,41,0,0,0,43,51,93
5100250,0,0,0,10,8,17,3,9,7,3,0,4,13,14,26,14,0,13,3,3,11,0,0,4,18,7,22,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,5,0,0,3,0,0,0,0,0,0,3,3,4,0,0,0,6,3,8,0,0,0,0,0,3,0,0,0,0,0,3,12,9,26,3,5,15,54,49,105
5100251,0,0,0,10,9,19,3,0,9,0,5,7,12,18,30,3,0,5,7,4,14,0,4,4,11,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10,14,25,0,3,4,37,52,89
5100252,0,0,4,12,7,19,0,0,0,5,3,12,19,10,31,0,3,9,3,0,5,5,3,4,10,7,16,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,6,7,14,0,0,0,39,35,78
5100253,6,5,16,45,35,76,5,7,10,9,7,12,55,46,108,26,32,51,0,4,5,9,4,12,27,39,68,0,4,4,0,0,4,0,0,0,0,3,3,0,0,0,3,10,14,0,3,3,0,0,3,0,0,0,0,6,6,0,0,0,0,11,16,0,0,0,0,3,3,0,0,0,0,3,3,15,10,29,0,0,6,116,131,253
5100254,3,0,3,5,3,11,4,3,3,0,0,0,14,7,20,3,5,4,4,0,3,0,0,0,5,6,13,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,6,5,16,0,0,0,25,26,49
5100255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,6,9
5100256,0,0,0,5,4,9,3,3,6,0,0,0,8,10,14,3,4,6,0,3,4,0,3,3,3,5,9,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,17,12,26,0,0,0,31,30,66
5100257,3,3,9,6,9,18,4,6,8,8,6,19,17,25,47,4,0,6,3,4,7,10,9,18,15,11,32,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,5,4,0,0,0,0,3,3,0,0,0,3,4,3,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,7,8,19,0,0,0,57,62,117
5100258,0,3,8,8,10,15,8,0,10,12,13,23,28,19,43,9,7,22,0,3,3,0,0,6,17,12,29,0,0,3,0,0,0,3,0,3,0,8,8,0,0,0,4,6,12,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,3,0,0,15,10,28,0,0,0,62,64,125
5100259,3,0,5,13,6,21,3,4,8,4,9,12,21,18,39,8,5,15,0,3,5,5,7,9,16,11,26,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,8,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,12,5,18,0,0,0,48,43,98
