SA1_7DIGITCODE_2016,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
5100239,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,3,7,23,25,24,8,0,0,99
5100240,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,12,9,35,45,29,23,10,0,0,150
5100241,0,0,0,0,3,3,0,0,0,9,0,0,4,3,0,0,0,0,0,7,15,12,31,37,40,30,14,0,0,177
5100243,0,0,4,3,3,0,0,0,0,12,0,0,3,0,0,0,0,0,0,4,19,11,28,32,58,36,8,0,0,195
5100244,0,0,0,3,4,3,0,0,0,13,0,0,0,3,0,3,0,0,0,3,23,9,34,53,56,28,9,0,0,212
5100246,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,12,5,14,25,20,3,0,0,90
5100247,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,5,3,3,16,21,43,52,11,3,0,155
5100249,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,4,3,5,13,22,27,14,4,0,0,88
5100250,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,7,7,3,15,41,37,36,8,0,0,138
5100251,0,0,0,3,0,0,0,0,0,5,0,0,4,0,3,3,0,0,0,8,5,9,10,22,34,23,3,0,0,112
5100252,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,10,3,10,33,29,19,4,6,0,121
5100253,0,0,3,5,0,0,0,0,0,19,0,0,3,3,0,3,0,0,0,9,19,20,80,102,59,37,3,0,0,325
5100254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,5,11,8,23,22,6,0,0,86
5100255,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,10
5100256,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,3,25,26,19,34,15,3,0,0,122
5100257,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,14,5,19,41,46,20,4,4,0,145
5100258,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,14,19,26,48,25,14,4,0,0,148
5100259,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,8,10,23,31,44,45,22,3,3,0,185
5100260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,7,11,3,8,11,0,0,40
5100261,0,0,3,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,22,14,36,58,37,11,3,0,0,173
5100262,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,3,17,18,28,19,0,0,0,92
5100263,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,22,8,8,29,64,23,9,0,0,159
5100264,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,10,8,14,15,31,17,0,0,0,99
5100265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,8,0,0,19
5100266,0,3,4,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,4,13,22,68,52,21,10,5,0,0,198
5100267,0,0,7,0,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,3,16,17,45,56,48,18,7,3,0,205
5100268,0,3,4,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,9,8,17,67,48,35,14,4,0,0,184
5100269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100270,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,9,3,9,7,11,15,22,7,0,0,78
5100271,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,10,15,13,26,0,0,0,72
5100272,0,0,0,10,4,3,0,0,0,18,0,0,0,3,3,0,3,0,0,14,27,29,87,115,66,55,15,0,0,389
5100273,0,0,3,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,7,9,11,15,20,19,0,0,0,76
5100274,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,6,7,21,33,20,15,3,3,0,107
5100275,0,0,0,0,0,3,0,0,0,5,0,0,3,0,3,0,0,0,0,8,14,11,27,39,45,34,7,3,0,162
5100276,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,3,20,12,27,40,36,20,0,0,0,157
5100277,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,3,9,19,16,22,13,8,0,0,95
5100278,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,10,12,12,18,19,20,8,3,0,0,98
5100279,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,16,12,24,34,26,30,3,3,0,138
5100280,0,0,3,3,0,0,0,0,0,12,0,3,0,3,0,0,0,0,0,4,11,9,25,36,53,15,4,0,0,153
5100281,0,0,0,0,0,0,0,0,0,4,0,3,0,3,3,0,0,0,0,8,9,25,24,34,32,32,3,3,0,161
5100282,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,0,0,0,0,9,9,12,27,45,35,21,5,0,0,155
5100283,0,0,0,0,7,3,0,0,0,12,0,0,0,0,0,0,0,0,0,5,11,10,30,40,52,38,11,0,0,193
5100301,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,9,12,23,22,15,9,0,0,86
5100302,0,0,0,0,3,0,0,0,0,5,0,0,5,0,0,3,0,0,0,8,3,5,24,53,28,18,3,0,0,139
5100303,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,15,13,35,33,16,0,0,116
5100304,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,3,0,0,6,10,7,17,25,35,24,7,0,0,135
5100305,0,0,0,0,4,0,0,0,0,5,0,0,0,0,4,0,3,0,0,10,3,9,13,26,39,38,11,3,0,144
5100306,0,0,0,0,0,3,0,0,0,10,0,0,0,3,0,4,0,0,0,9,19,17,20,47,58,51,15,0,0,224
5100307,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,12,9,3,9,33,46,43,4,0,0,141
5100308,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,3,0,0,0,15,8,9,22,44,54,36,10,4,0,188
5100310,0,0,0,0,0,0,0,0,0,3,0,3,7,0,3,0,0,0,0,8,11,19,40,38,49,39,11,4,5,208
5100311,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,7,6,26,40,39,23,5,4,0,145
5100312,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,5,10,16,34,32,33,28,9,0,0,164
5100313,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,8,4,14,48,30,15,14,7,0,0,127
5100314,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,6,5,17,27,37,32,7,3,0,139
5100315,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,4,0,0,0,11,14,9,36,41,46,53,13,4,0,214
5100316,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,4,13,9,14,28,47,30,6,0,0,134
5100317,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,11,6,9,31,64,25,5,0,0,155
5100318,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,13,3,3,43,38,42,60,21,0,0,206
5100319,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,9,5,20,20,25,33,8,0,0,125
5100320,0,0,0,3,0,0,0,0,0,6,0,0,0,3,6,0,0,0,0,17,18,10,53,86,78,34,15,0,0,294
5100321,0,0,0,0,3,0,0,0,0,8,0,0,0,4,0,0,3,0,0,6,13,3,18,75,52,26,8,0,0,198
5100322,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,11,25,10,11,0,0,73
5100323,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,5,8,4,18,26,24,18,6,0,0,105
5100324,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,10,4,20,36,36,45,10,0,0,153
5100325,0,0,5,4,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,8,10,7,51,98,49,30,9,0,0,265
5100326,0,0,0,3,0,0,0,0,0,6,0,0,3,0,4,0,0,0,0,11,8,7,41,50,32,13,13,0,0,164
5100327,0,0,4,7,3,0,0,0,0,18,0,0,0,3,3,0,0,0,0,9,10,14,92,92,52,20,8,3,0,288
5100328,0,3,3,4,5,8,0,0,0,20,0,0,7,7,3,0,0,0,0,16,12,19,113,138,70,37,11,0,0,404
5100401,0,0,0,4,3,0,0,0,0,11,0,0,0,0,5,0,0,0,0,10,5,10,32,80,52,26,6,0,0,215
5100405,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,11,14,14,39,58,80,55,13,0,0,276
5100406,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,4,0,0,0,13,13,16,48,56,48,44,10,0,0,231
5100407,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,6,10,56,33,28,30,4,0,0,163
5100408,0,0,0,3,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,5,6,13,41,42,32,36,11,0,0,176
5100410,0,3,7,3,0,0,0,0,0,19,0,0,0,9,4,5,0,0,0,15,25,39,135,106,41,32,11,0,0,391
5100411,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,3,0,0,0,10,7,15,41,20,33,28,3,0,0,148
5100412,0,0,0,4,0,0,0,0,0,8,0,0,4,3,4,7,0,0,0,15,6,10,30,45,48,49,8,0,0,196
5100413,0,0,0,3,0,0,0,0,0,7,0,0,6,4,4,3,0,0,0,17,12,5,31,78,72,42,9,0,0,262
5100414,0,0,3,3,4,0,0,0,0,14,0,0,0,3,3,3,0,0,0,10,12,11,41,63,67,52,27,0,0,271
5100415,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,9,3,15,32,36,16,6,5,0,115
5100416,0,0,0,0,0,0,0,0,0,3,0,0,0,7,5,3,0,0,0,12,3,8,34,73,68,38,14,3,0,240
5100417,0,0,3,0,3,3,0,0,0,9,0,0,3,4,5,5,0,0,0,20,6,14,40,47,57,60,8,3,0,232
5100418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,20,15,22,18,5,0,0,98
5100419,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,7,9,13,43,40,21,18,3,0,0,157
5100420,0,0,0,0,3,0,0,0,0,5,0,0,0,7,3,0,0,0,0,14,9,8,57,60,32,17,4,0,0,187
5100421,0,0,3,3,3,0,0,0,0,12,0,0,3,0,3,0,0,0,0,9,9,8,47,64,45,22,3,0,0,197
5100422,0,0,3,4,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,9,5,4,77,59,42,21,3,0,0,212
5100423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100424,0,0,4,3,0,3,0,0,0,13,0,0,0,3,0,0,0,0,0,6,13,12,32,56,28,12,8,0,0,156
5100425,0,0,0,0,4,0,0,0,0,3,0,3,3,3,0,0,0,0,0,10,8,5,37,30,26,18,4,0,0,134
5100426,0,0,0,0,3,0,0,0,0,3,3,0,0,3,3,0,0,0,0,9,11,8,47,40,33,15,0,0,0,155
5100427,0,0,0,3,5,0,0,0,0,6,3,0,0,5,3,0,0,0,0,12,11,10,48,49,33,14,0,0,0,168
5100502,0,3,0,3,3,0,0,0,0,17,0,0,6,3,3,3,0,0,0,18,12,40,136,78,59,11,4,0,0,345
5100504,0,3,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,11,15,20,24,21,10,4,0,101
5100505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,6,0,0,0,19
5100507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100508,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,11,3,12,29,30,37,6,0,0,132
5100509,0,0,0,3,4,0,0,0,0,4,0,0,0,5,0,0,0,0,0,8,24,31,62,78,74,47,7,3,0,321
5100510,0,0,5,3,3,0,0,0,0,6,0,0,3,3,3,0,0,0,0,13,25,31,124,114,61,32,3,0,0,394
5100511,0,0,3,0,3,0,0,0,0,5,0,0,3,3,0,0,0,0,0,9,17,6,22,31,40,22,6,0,0,148
5100512,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,13,3,18,17,18,28,3,0,0,102
5100513,3,4,3,0,3,3,0,0,0,16,0,0,0,0,0,3,0,0,0,7,15,8,20,42,54,41,10,0,0,179
5100514,0,3,3,3,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,11,21,18,83,85,39,13,3,0,0,261
5100515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100516,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,3,0,0,0,8,3,3,14,25,31,32,6,0,0,121
5100517,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,8,17,13,14,21,3,0,0,74
5100518,0,0,0,8,3,0,0,0,0,12,0,0,0,3,3,0,3,0,0,5,18,24,48,56,73,67,10,0,0,296
5100519,0,3,3,4,3,3,0,0,0,10,0,0,0,0,0,0,3,0,0,8,13,12,29,36,79,41,9,0,0,225
5100520,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,11,24,29,32,29,6,0,0,137
5100521,0,0,0,0,3,0,0,0,0,7,0,0,3,0,0,4,0,0,0,4,3,20,42,35,35,34,6,0,0,172
5100522,0,0,0,3,3,0,0,0,0,5,0,0,0,4,3,0,0,0,0,11,12,18,21,20,30,23,5,0,0,127
5100524,0,3,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,10,14,15,16,26,37,22,5,0,0,138
5100525,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,3,8,24,23,27,17,3,0,0,103
5100526,0,0,3,0,0,0,0,0,0,5,0,0,3,0,4,3,0,0,0,10,6,19,30,18,28,10,9,0,0,126
5100527,0,0,0,3,0,0,0,0,0,3,0,0,6,0,0,3,0,0,0,9,17,7,32,23,43,41,13,0,0,167
5100528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,10,13,18,21,3,0,0,76
5100529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,22,34,39,22,3,0,0,133
5100530,0,3,0,4,0,0,0,0,0,9,0,0,3,4,0,0,0,0,0,10,17,22,38,55,89,58,4,0,0,291
5100531,0,0,3,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,8,16,16,13,39,62,39,9,0,0,205
5100532,0,4,0,0,0,0,0,0,0,10,0,0,0,0,3,3,0,0,0,6,10,10,17,18,48,51,6,0,0,160
5100533,0,0,13,4,4,0,0,0,0,26,0,0,3,4,3,0,0,0,0,11,22,48,176,127,70,30,0,0,0,473
5100534,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,19,25,53,76,60,33,6,4,0,266
5100536,0,4,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,7,4,31,32,34,9,3,0,0,129
5100537,0,3,0,0,0,0,0,0,0,8,0,0,3,0,3,0,0,0,0,7,13,8,12,16,64,34,13,0,0,156
5100538,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,3,3,0,0,6,14,10,13,40,44,57,13,0,0,191
5100539,0,0,0,0,7,0,0,0,0,7,0,0,0,0,4,0,0,0,0,8,7,10,19,23,59,21,0,0,0,141
5100540,0,0,0,0,3,0,0,0,0,8,0,0,0,0,3,3,0,0,0,6,23,14,26,41,76,48,6,0,0,231
5100541,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,3,4,10,16,13,18,5,0,0,0,65
5100542,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,4,17,22,26,8,7,0,0,0,80
5100543,0,0,0,0,3,0,0,0,0,5,0,0,3,5,0,0,0,0,0,7,13,7,18,47,31,19,3,0,0,139
5100544,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,11,5,27,31,22,13,0,0,0,118
5100545,0,0,0,0,0,0,0,0,0,4,0,0,0,5,4,0,0,0,0,10,13,15,47,45,31,17,0,0,0,165
5100546,3,0,0,0,0,0,0,0,0,5,3,0,0,3,4,0,0,0,0,13,21,11,37,54,41,17,0,0,0,188
5100547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100548,0,0,0,3,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,7,22,13,33,59,43,18,5,0,0,197
5100549,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,14,17,17,30,21,0,0,0,108
5100550,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,20,9,30,72,39,11,5,0,0,181
5100551,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7,6,9,62,43,18,3,0,0,0,131
5100701,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,9,4,11,28,23,29,33,6,0,0,127
5100702,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,11,15,22,35,42,26,9,0,0,150
5100703,0,0,3,4,0,3,0,0,0,13,0,0,0,3,0,0,0,0,0,14,10,11,39,42,50,38,10,4,0,208
5100704,0,0,0,0,3,4,0,0,0,6,0,0,0,0,3,3,3,0,0,10,8,17,34,40,55,32,12,3,0,208
5100705,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,4,14,30,33,16,4,0,0,113
5100706,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,10,8,23,15,37,30,12,0,0,144
5100707,0,0,0,0,3,0,0,0,0,10,0,0,0,0,3,0,0,0,0,9,10,5,27,40,70,41,18,0,0,219
5100708,0,0,0,0,8,3,0,0,0,10,0,0,0,0,3,0,0,0,0,9,14,11,35,49,80,54,18,5,0,261
5100709,0,3,0,0,0,3,0,0,0,5,0,0,0,3,3,3,0,0,0,8,18,9,16,22,44,44,16,3,0,174
5100710,0,0,0,0,3,0,0,0,0,3,0,0,0,9,6,0,0,0,0,15,13,6,28,65,46,60,13,0,0,244
5100711,3,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,3,7,4,13,38,47,20,0,0,0,130
5100713,3,4,3,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,11,11,21,52,40,37,32,4,0,0,205
5100714,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,10,19,36,22,35,16,8,0,0,138
5100801,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,5,5,20,30,24,42,37,10,0,0,171
5100802,0,3,4,5,3,0,0,0,0,11,0,8,8,0,4,5,0,0,0,19,13,31,56,50,64,54,13,0,0,284
5100803,0,0,0,3,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,5,9,18,21,35,34,41,7,0,0,171
5100804,0,0,0,3,3,0,0,0,0,9,0,0,0,0,0,3,0,0,0,5,13,8,41,35,53,28,9,0,0,183
5100805,0,4,0,3,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,18,32,31,44,48,33,5,0,0,208
5100806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100807,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,13,4,15,47,35,47,36,6,0,0,184
