SA2_MAINCODE_2016,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_over_Mgrs,P_85_over_Profnls,P_85_over_Techs_trades_wrkrs,P_85_over_Com_psnl_serv_wrkrs,P_85_over_Cler_admin_wrkrs,P_85_over_Sales_wrkrs,P_85_over_Mach_oper_dvrs,P_85_over_Labrs,P_85_over_Inad_desc_Ns,P_85_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
501021016,0,0,26,20,3,23,8,19,5,97,10,7,34,16,8,12,5,20,0,114,25,23,63,26,20,14,34,31,5,243,27,28,70,40,32,12,46,26,4,293,40,33,87,41,35,16,90,52,14,399,36,29,60,27,36,25,57,43,6,305,21,7,5,8,11,3,11,15,0,74,9,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,3,156,132,343,183,146,110,251,205,29,1558
501021251,5,3,58,53,29,138,7,79,7,369,18,25,83,53,35,46,16,61,3,334,57,189,171,76,86,67,70,79,9,802,116,260,184,120,135,60,93,92,16,1078,115,208,140,134,136,69,81,65,18,973,48,94,44,38,50,39,45,44,9,395,8,22,11,12,5,8,5,10,0,76,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,366,794,686,480,474,428,315,428,57,4031
501021252,0,0,25,13,3,34,0,34,3,110,3,12,22,17,8,12,3,14,0,84,5,28,39,7,12,13,9,8,0,116,37,67,63,21,41,16,19,15,3,297,60,99,85,45,72,17,20,31,7,426,41,85,42,18,56,16,22,28,6,306,8,12,4,3,0,3,3,5,0,35,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,146,298,280,124,198,106,75,130,23,1380
501021253,0,5,35,36,11,109,3,69,9,273,20,65,101,54,39,56,8,66,8,427,91,285,227,100,95,71,51,137,17,1067,141,311,182,111,120,79,59,106,9,1119,193,309,178,116,183,84,79,118,17,1285,143,280,133,108,166,71,59,79,18,1048,49,67,27,27,41,21,23,30,3,283,4,6,0,3,4,0,0,3,0,29,3,0,0,0,0,0,0,0,0,0,650,1326,888,551,665,486,290,605,82,5536
501021254,0,0,6,12,4,50,0,32,0,108,3,8,33,20,15,23,13,29,0,155,27,58,84,51,28,38,26,83,12,403,24,68,85,46,32,38,50,78,9,421,33,43,56,43,44,36,60,83,5,413,22,39,38,45,43,28,63,69,3,338,3,11,10,6,8,3,8,8,0,48,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,120,221,312,231,171,215,220,385,27,1899
501031017,5,0,31,14,16,28,3,32,10,141,13,9,27,8,12,13,10,20,0,102,41,46,62,30,13,19,38,37,0,274,104,84,81,50,53,30,43,62,11,527,118,95,108,54,79,44,84,78,13,653,158,82,86,57,61,36,60,76,4,617,95,30,15,14,14,16,14,30,10,251,26,6,0,4,6,0,0,4,4,51,0,0,0,0,0,0,0,0,0,0,561,348,408,234,245,193,247,341,40,2621
501031018,4,0,31,9,3,35,7,29,0,116,4,3,31,21,8,15,12,21,0,119,38,36,80,18,33,23,43,56,3,330,69,58,84,39,62,24,56,67,7,458,108,100,77,56,63,29,72,67,5,586,122,85,59,68,72,35,61,67,10,578,71,24,11,12,7,13,22,26,0,187,14,0,0,0,0,0,3,3,0,20,4,0,0,0,0,0,0,0,0,7,439,309,377,222,248,176,261,336,32,2406
501031019,6,0,30,16,9,55,3,51,0,168,9,11,55,19,20,26,16,35,0,191,52,67,79,27,61,28,40,69,12,427,77,67,54,44,54,40,45,58,5,445,84,61,82,58,92,50,65,104,6,594,81,62,71,55,54,35,49,77,3,497,33,16,16,7,19,7,20,26,7,141,15,0,0,0,5,0,6,6,0,31,3,0,0,0,0,0,0,0,0,3,363,282,394,222,309,240,243,419,31,2501
501031020,9,0,12,6,3,31,0,23,3,90,14,3,17,13,4,3,7,30,8,99,48,32,33,16,23,16,16,55,9,233,94,57,55,34,29,27,24,51,4,382,148,84,53,54,54,41,58,83,8,585,165,77,40,40,46,40,46,69,15,551,95,21,14,6,11,13,7,30,8,209,24,3,0,0,3,0,4,4,3,42,5,0,0,0,0,0,0,0,0,5,600,278,220,173,179,173,163,350,48,2188
502011021,0,0,21,30,6,54,4,34,4,157,3,14,36,28,26,30,7,29,4,184,34,55,111,47,47,30,48,42,5,419,77,97,146,56,72,46,50,50,11,606,82,108,144,53,88,35,86,51,6,659,54,71,79,40,75,45,43,40,6,459,13,17,18,9,20,12,9,15,0,117,3,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,265,370,547,277,334,252,253,265,47,2596
502011022,0,0,22,36,11,69,6,52,0,202,11,29,89,61,21,42,8,39,3,295,25,82,134,57,53,42,46,49,10,502,71,122,124,81,68,55,66,55,10,648,109,167,145,76,103,64,92,72,14,831,65,109,101,62,86,56,67,63,4,620,27,28,15,9,27,15,12,11,0,141,6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,324,535,632,365,382,340,289,343,45,3254
502011023,6,0,33,33,4,80,6,51,3,219,13,27,93,50,21,62,13,42,4,331,36,73,172,79,57,59,78,72,20,652,39,79,133,86,61,47,67,68,12,592,61,95,151,103,95,63,105,114,11,814,41,71,86,66,70,38,73,74,8,521,4,18,8,7,9,12,16,16,3,90,0,0,3,0,3,0,0,7,3,16,0,0,0,0,0,0,0,0,0,3,212,357,677,419,329,360,367,450,64,3233
502011024,4,7,65,91,20,206,19,117,13,536,31,43,175,104,54,118,36,61,3,628,92,172,236,131,108,76,99,106,7,1028,166,277,303,178,159,105,124,128,24,1459,213,332,277,190,257,132,165,146,33,1740,137,225,206,125,173,126,127,103,20,1243,49,45,27,23,50,30,33,27,9,297,10,6,5,6,5,5,0,3,3,41,0,0,0,0,0,0,0,0,0,3,698,1109,1297,849,825,801,602,692,107,6976
502011025,0,0,34,32,9,47,8,33,0,155,15,20,65,50,19,62,11,50,4,297,47,94,135,106,56,50,59,77,17,639,45,73,120,78,55,44,60,82,6,555,79,118,117,75,87,66,78,79,7,699,71,82,82,78,79,55,76,76,9,606,19,33,16,10,24,15,15,25,3,152,3,4,0,0,3,3,0,0,4,18,0,0,0,0,0,0,0,0,0,0,285,426,573,421,318,330,302,422,53,3127
502011026,0,0,22,9,4,61,3,36,0,133,10,10,51,35,15,33,7,29,3,192,15,46,70,25,36,19,37,33,12,296,40,62,84,37,49,28,47,42,12,396,62,60,99,41,68,42,71,49,11,506,53,62,75,43,57,32,73,39,12,446,16,18,13,10,17,12,7,12,0,104,4,3,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,209,259,413,195,244,229,252,235,47,2079
502011027,7,10,69,86,16,176,18,106,3,482,27,59,182,127,83,119,34,77,3,719,141,286,392,214,207,113,153,151,40,1691,197,283,327,222,223,95,143,127,36,1659,181,296,293,188,251,141,149,146,25,1675,91,175,151,117,143,75,100,84,12,957,22,28,15,9,28,18,26,20,0,169,0,3,3,5,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,669,1138,1433,980,951,732,624,715,120,7370
502011028,3,3,29,33,8,76,6,39,0,197,12,19,55,44,37,43,15,50,9,294,28,68,140,73,58,52,47,74,12,552,55,65,111,75,65,56,75,81,13,595,86,86,131,102,93,78,103,74,14,761,73,86,80,87,103,62,112,83,9,692,24,18,32,17,29,21,23,18,13,196,3,3,3,0,8,7,0,3,8,32,0,0,0,0,0,0,0,0,0,3,282,357,576,435,395,393,381,424,72,3316
502011029,3,6,39,39,3,81,11,45,0,227,4,14,82,36,23,41,16,45,7,273,49,77,182,65,55,32,73,76,11,618,64,91,151,83,84,58,107,86,14,733,102,81,138,91,92,65,161,115,19,865,81,45,96,57,61,35,96,74,13,556,41,19,22,16,21,9,18,28,3,170,18,0,0,0,0,0,0,7,0,25,5,0,0,0,0,0,0,0,0,6,370,336,700,390,334,322,483,468,72,3475
503011030,0,18,11,66,11,71,5,29,6,212,9,75,23,72,37,67,8,13,3,297,23,92,37,21,26,13,0,10,0,235,101,236,14,21,44,15,3,3,9,453,223,402,38,30,100,41,3,8,20,869,154,239,21,21,67,19,3,8,8,551,26,68,0,3,41,11,0,3,0,159,19,28,0,0,9,4,0,0,3,66,4,3,0,0,3,0,0,0,0,12,557,1162,151,231,326,250,34,87,60,2860
503011031,4,6,4,41,9,38,10,18,3,137,18,78,34,83,38,79,11,28,3,354,94,398,58,63,61,55,9,18,15,771,124,281,25,37,63,31,10,10,6,597,168,339,38,37,79,36,6,10,13,730,128,237,35,35,70,27,9,13,9,554,68,129,10,10,37,17,0,6,9,294,17,23,3,4,0,8,0,3,3,59,0,3,0,0,0,0,0,0,0,5,625,1494,201,306,356,297,54,112,54,3504
503011032,0,4,7,45,5,52,3,18,0,142,7,67,24,67,28,42,6,23,7,270,87,378,56,56,55,33,3,24,15,700,145,327,36,21,58,31,0,8,10,632,209,402,29,28,75,33,3,5,14,809,183,314,29,24,68,38,3,12,6,674,65,106,4,8,37,12,0,7,5,243,8,11,0,0,3,3,0,4,5,32,4,3,0,0,0,0,0,0,0,6,714,1611,181,250,331,232,33,100,70,3514
503011033,3,12,9,67,7,71,3,40,3,221,17,84,22,101,36,50,4,33,7,351,48,241,28,28,56,26,0,12,9,448,200,403,33,17,103,20,10,12,11,807,269,524,59,49,141,32,6,8,12,1094,159,309,44,22,92,36,10,7,6,693,20,74,13,3,20,8,0,3,3,141,3,3,0,3,7,0,3,0,0,24,0,0,0,0,0,0,0,0,0,0,711,1643,210,293,457,246,44,115,42,3769
503011034,0,20,14,74,13,69,3,19,0,214,20,101,34,108,41,62,5,34,0,416,89,371,104,110,92,63,14,68,11,932,185,399,58,58,75,29,4,30,20,872,268,469,50,67,136,58,14,23,15,1094,191,304,42,39,85,42,11,32,13,750,63,118,12,18,53,28,8,14,9,320,14,21,4,0,4,7,0,0,8,60,3,0,0,0,0,0,0,0,0,6,839,1805,311,476,502,361,69,224,76,4656
503011035,3,54,28,191,43,167,10,78,3,574,41,243,72,254,104,198,27,107,14,1054,108,633,87,112,108,74,24,62,17,1213,260,771,54,54,136,40,21,45,24,1409,412,864,54,51,187,77,12,16,25,1709,256,702,60,53,166,67,12,13,28,1364,125,284,19,16,80,24,4,7,11,580,22,50,0,4,20,3,0,6,3,107,0,5,0,0,0,0,0,0,0,6,1231,3602,366,733,846,653,117,341,123,8015
503011036,0,12,7,75,9,74,8,31,0,218,13,53,29,89,36,58,8,29,0,321,64,227,36,95,59,21,5,10,10,530,184,357,29,63,80,26,8,11,13,768,229,490,39,41,118,37,8,21,11,986,175,335,29,52,99,38,5,15,9,755,62,120,12,11,40,17,4,8,3,278,10,19,3,0,6,7,0,0,3,50,0,0,0,0,0,0,0,0,0,0,737,1614,180,422,446,279,37,123,72,3904
503021037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,6
503021038,4,3,7,46,12,55,4,35,0,170,22,106,44,108,54,78,8,36,0,447,176,764,205,143,147,84,26,72,19,1632,268,683,119,66,163,73,25,23,20,1445,233,465,97,77,174,53,29,38,13,1192,120,269,69,47,100,33,26,34,4,694,21,54,14,17,22,11,4,8,0,149,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,849,2339,561,503,671,389,126,247,64,5745
503021039,10,15,13,75,23,126,8,46,5,333,41,158,100,189,90,192,9,61,8,842,281,916,276,246,297,166,61,106,34,2377,352,761,167,122,209,81,32,55,31,1803,378,655,144,84,259,99,38,50,20,1733,210,484,114,67,201,82,42,59,18,1258,48,122,23,27,41,26,6,21,4,319,3,6,4,0,8,0,0,6,0,28,0,0,0,0,0,0,0,0,0,0,1321,3113,844,809,1122,771,202,410,107,8701
503021040,0,7,13,29,7,55,3,27,0,140,15,76,47,89,45,65,10,33,10,387,151,550,170,141,136,76,28,49,12,1307,207,464,87,55,127,48,22,40,15,1076,212,376,94,42,139,49,17,34,10,985,97,208,60,38,89,34,17,22,3,572,25,43,15,3,24,9,6,14,3,145,0,4,4,0,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,717,1731,490,402,568,339,105,222,62,4626
503021041,10,6,21,52,23,75,4,54,6,245,134,352,189,428,210,237,30,228,38,1858,1026,3337,998,867,850,430,168,587,113,8377,763,1430,326,240,396,146,96,160,71,3621,729,760,205,183,329,126,74,114,49,2560,464,551,156,91,271,110,68,83,28,1822,111,166,31,33,83,34,10,28,20,510,21,24,7,3,4,11,0,3,0,66,3,0,0,0,0,0,0,3,3,13,3247,6612,1933,1902,2175,1161,444,1268,324,19071
503021042,3,13,5,80,8,96,3,46,7,259,39,169,53,146,67,120,9,53,10,654,223,1101,167,170,191,108,23,70,19,2064,318,823,106,85,158,62,14,64,39,1671,346,772,97,71,200,45,25,54,22,1625,237,585,69,55,152,71,10,36,6,1229,102,214,18,26,56,31,4,18,8,476,9,33,0,3,3,3,0,4,0,65,0,0,0,0,0,0,0,0,0,4,1270,3710,514,625,842,541,88,345,111,8048
503021043,3,16,12,56,16,110,6,57,3,283,38,161,90,172,78,124,31,108,9,806,261,1001,310,287,289,213,87,348,26,2825,356,901,164,152,257,100,52,188,27,2191,313,627,94,109,181,72,44,53,23,1504,186,411,95,76,169,65,50,54,15,1113,48,110,21,20,53,22,9,29,5,317,0,7,3,3,9,4,0,3,7,41,0,3,0,0,0,0,0,0,0,9,1204,3234,789,883,1047,709,277,845,106,9094
504011044,13,5,43,74,17,96,8,51,3,311,26,54,99,111,62,84,31,78,5,541,158,489,290,176,252,94,92,98,20,1671,224,499,253,152,273,76,69,91,20,1663,225,354,214,156,267,82,103,106,24,1535,106,205,147,138,200,67,90,120,19,1092,32,60,32,24,48,24,27,34,5,280,0,3,5,0,3,3,3,0,0,21,0,0,0,0,0,0,0,0,0,4,779,1675,1080,832,1112,531,420,578,112,7112
504011045,6,13,36,86,38,188,8,91,4,466,37,97,142,174,121,185,34,97,17,916,317,929,487,296,343,180,109,187,55,2896,433,979,354,203,343,160,104,149,54,2787,407,630,296,224,368,116,124,155,36,2366,193,384,209,183,281,87,106,120,23,1582,31,71,36,22,61,12,26,38,6,311,8,6,5,0,4,3,3,0,3,33,0,0,0,0,0,0,0,0,0,0,1437,3112,1563,1196,1560,933,516,840,198,11355
504011046,3,3,10,30,4,58,5,24,0,137,34,103,73,138,71,109,26,73,3,634,260,848,363,325,309,167,114,178,30,2589,229,533,167,142,185,65,92,97,18,1539,185,268,103,77,165,51,52,73,8,975,108,184,80,58,98,39,47,68,8,685,15,62,13,13,25,15,17,23,4,188,3,3,3,0,3,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,837,2001,818,782,862,504,355,538,73,6763
504011047,6,12,40,68,14,174,14,84,10,420,41,118,177,192,109,203,47,131,16,1036,247,610,508,328,334,211,167,244,54,2714,235,458,400,200,311,135,135,183,32,2089,200,276,348,202,375,152,162,217,32,1968,141,201,241,136,254,108,125,141,20,1369,37,56,64,39,76,30,41,53,14,394,3,5,8,3,3,0,0,5,6,36,0,0,0,0,0,0,0,0,0,4,904,1737,1789,1167,1481,1013,701,1066,178,10029
504011048,0,0,19,32,12,80,4,34,3,176,10,46,61,49,53,69,14,38,3,349,66,194,120,50,88,62,28,46,13,662,96,165,104,69,99,45,41,57,16,686,118,148,120,75,147,47,56,66,19,797,110,142,110,75,158,77,53,72,21,812,30,41,35,16,38,26,23,13,3,226,3,0,3,0,0,0,0,6,4,17,0,0,0,0,0,0,0,0,0,0,442,739,557,372,593,411,206,325,80,3731
504021049,0,3,20,8,4,20,0,11,3,72,0,9,35,13,8,13,7,17,0,104,11,24,55,14,21,14,20,19,4,179,37,33,47,31,30,10,25,24,5,248,62,63,67,48,49,25,34,33,6,387,37,48,40,33,42,17,25,29,9,278,11,17,6,8,4,5,4,8,5,67,0,3,3,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,151,204,277,163,159,110,113,139,34,1346
504021050,0,15,20,50,13,75,0,48,0,223,6,19,48,45,23,42,13,19,0,219,30,107,71,35,39,25,14,16,4,348,117,239,86,60,74,34,26,24,13,669,197,304,88,104,132,39,33,29,16,933,111,249,73,51,92,45,24,39,10,695,29,74,20,18,31,12,6,11,7,215,0,5,4,3,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,495,1015,414,366,415,269,120,182,49,3319
