SA2_MAINCODE_2016,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
505011079,3,17,35,39,52,38,12,0,0,201,10,21,33,52,60,32,20,3,4,227,354,478,755,1152,1405,924,276,11,7,5357
505011080,11,7,20,21,34,28,3,0,0,129,11,11,18,33,49,26,19,0,0,171,321,405,473,688,1136,801,170,15,0,4010
505011081,3,16,40,49,34,23,5,0,0,179,5,16,42,38,40,25,13,0,0,179,182,322,957,972,790,672,171,13,0,4084
505011082,12,14,26,21,35,26,7,0,0,137,13,20,28,41,51,37,19,0,0,210,267,403,555,870,1207,1043,286,31,3,4665
505011083,10,29,27,28,61,40,7,0,0,208,16,20,17,31,68,36,10,0,0,205,406,524,538,878,1359,1029,162,17,0,4916
505021084,9,23,119,58,64,36,9,0,0,315,9,25,84,67,70,43,16,6,0,314,267,601,2016,1603,1330,944,296,30,0,7084
505021085,11,50,106,67,64,41,9,0,0,347,21,63,175,141,91,72,13,5,0,581,297,895,2599,1601,1269,855,188,20,0,7723
505021086,19,40,111,96,114,71,31,3,0,486,13,57,126,103,106,91,32,11,0,544,505,1028,2376,2341,2555,1836,496,87,14,11237
505021087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505021088,5,36,104,59,53,42,14,0,0,322,4,25,106,78,61,38,16,8,0,335,288,708,3012,1800,1458,987,229,25,3,8513
505021089,14,32,55,86,58,71,20,5,0,335,14,27,59,103,94,54,26,3,3,385,521,691,1521,2353,2325,1581,489,47,10,9542
505021090,9,48,163,73,48,27,4,0,0,376,9,40,173,84,63,48,7,4,0,422,211,819,3511,1837,1054,777,161,26,4,8391
505021091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505021092,5,30,133,66,42,32,9,3,0,331,3,23,120,95,59,36,15,7,0,358,203,742,3162,1905,1438,1008,253,38,4,8754
505021093,6,23,94,40,58,36,20,0,0,273,5,20,73,74,50,40,17,4,0,292,247,670,2007,1509,1265,932,271,39,0,6940
505021094,3,9,33,25,16,12,9,0,0,115,10,9,17,49,35,14,7,0,3,147,186,245,643,782,836,654,198,20,8,3561
505021095,9,26,92,49,37,33,4,0,0,249,8,15,97,48,35,16,8,0,0,225,138,498,2423,1436,969,659,161,18,3,6306
505021096,7,13,48,34,54,28,6,0,0,195,9,25,29,56,56,44,19,5,0,245,358,538,996,1472,1616,1024,298,52,5,6360
505021097,9,25,79,49,51,33,18,7,0,281,15,29,83,64,68,46,21,3,0,316,292,663,2052,1588,1517,1066,309,47,11,7544
505031098,5,41,62,65,54,44,13,0,0,293,11,38,69,70,74,45,4,0,0,323,253,587,1025,1045,1178,825,152,14,0,5070
505031099,17,47,128,114,82,17,7,0,0,424,33,51,110,100,86,37,10,0,0,432,618,1010,2417,2369,1969,806,178,19,0,9390
505031100,24,68,142,89,74,33,3,0,0,430,18,49,95,77,75,28,3,0,0,352,498,856,2356,1996,1646,716,115,5,0,8193
505031101,18,39,93,60,53,25,4,0,0,295,16,43,101,52,54,35,0,0,0,299,360,734,1835,1360,1186,615,122,9,0,6217
505031102,7,20,51,48,21,21,9,0,0,180,7,22,70,57,46,20,12,0,0,236,159,349,881,771,651,419,114,10,0,3354
505031103,24,51,145,169,115,57,12,0,0,572,30,52,122,153,136,58,18,3,0,574,797,1110,2928,3384,2836,1319,274,22,0,12664
505031104,8,28,60,48,64,41,3,0,0,257,17,26,65,55,61,32,10,3,0,269,276,487,1050,1022,1031,695,133,19,0,4719
505031105,22,34,58,69,103,45,7,0,0,339,25,53,33,84,115,81,11,4,0,406,790,881,1162,2038,2811,1256,209,18,0,9158
505031106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
505031107,20,33,68,87,76,29,9,0,0,322,15,17,70,75,50,37,6,0,0,271,440,543,1413,1686,1394,713,144,13,3,6346
505031108,27,76,178,129,121,100,19,0,0,649,27,57,158,137,127,78,31,4,0,625,652,1186,3173,2824,2433,1720,406,34,0,12436
505031255,11,38,92,44,27,4,0,0,0,215,9,30,47,28,35,9,5,0,0,158,163,550,1509,894,647,226,44,3,3,4040
505031256,0,0,0,3,8,5,0,0,0,19,0,4,6,6,6,0,0,0,0,26,22,34,37,71,108,66,20,5,0,354
505031257,5,7,8,12,16,4,0,0,0,55,0,6,18,9,16,8,3,3,0,61,56,83,231,243,289,177,33,4,0,1122
505031258,8,18,52,33,38,17,3,0,0,159,13,17,32,47,38,16,10,0,0,171,174,329,869,863,817,410,106,6,0,3570
506011110,7,43,87,46,49,36,13,0,0,283,21,53,82,99,92,56,8,0,0,410,340,783,1823,1484,1341,969,211,17,3,6971
506011111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
506011112,6,12,23,23,23,15,0,0,0,117,9,7,40,27,37,11,6,0,0,141,118,208,574,453,507,410,60,10,0,2337
506011113,23,54,156,88,60,30,7,0,0,418,7,40,153,113,66,30,7,0,0,406,394,908,3761,2670,1488,702,119,10,0,10048
506011114,4,38,48,48,47,34,18,0,0,235,12,27,57,34,56,39,8,0,0,243,234,441,923,867,955,765,197,12,3,4401
506011115,14,19,25,40,34,36,8,0,0,185,15,24,26,25,60,21,14,3,0,180,256,335,564,673,932,731,162,25,0,3678
506011116,10,13,32,26,24,22,6,0,0,148,4,24,24,40,43,28,8,7,0,174,205,269,480,718,839,677,206,28,0,3419
506011117,14,26,71,61,32,29,3,0,0,242,14,32,74,66,42,15,3,0,0,254,280,474,1349,1097,836,446,75,3,0,4553
506021118,8,32,96,73,42,35,10,0,0,306,10,39,99,80,59,30,16,4,0,342,246,714,1920,1519,1265,893,242,24,3,6831
506021119,19,44,115,65,46,31,9,0,0,326,9,34,128,67,51,30,10,0,0,324,278,877,2801,1872,1341,805,210,10,0,8199
506021120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506021121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506021122,15,65,180,92,93,52,13,0,0,517,21,69,198,119,98,62,21,4,0,590,412,1314,3879,2389,1843,1351,294,33,3,11515
506021123,3,22,90,47,45,27,11,3,0,247,6,42,100,63,61,47,15,7,0,338,229,855,2689,1659,1300,933,244,18,4,7937
506031124,14,48,104,46,47,30,6,0,0,300,14,72,158,78,52,37,9,3,0,432,363,1391,2793,1504,1124,760,200,20,3,8163
506031125,12,20,27,33,59,39,26,0,0,215,11,27,34,47,55,36,15,0,0,232,345,563,806,986,1324,868,195,9,0,5099
506031126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506031127,7,38,138,72,49,30,7,0,0,351,10,60,185,101,75,24,10,0,0,471,259,1051,3183,1775,1148,687,179,13,3,8297
506031128,11,26,73,55,47,44,10,0,0,274,13,22,91,61,74,56,11,7,0,321,275,554,1682,1296,1200,1128,260,28,3,6425
506031129,13,22,26,31,60,39,10,3,0,199,11,34,39,63,54,25,9,4,0,243,386,591,900,1228,1548,954,251,35,0,5895
506031130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506031131,10,19,41,71,64,74,13,3,0,290,25,36,57,71,73,65,14,0,0,340,477,809,1134,2028,1979,1486,360,22,0,8293
506041132,16,44,102,73,63,56,6,0,0,369,19,59,188,102,96,53,21,3,0,548,368,880,2455,1838,1409,979,267,24,0,8217
506041133,21,43,82,116,120,60,9,3,0,448,30,56,123,129,113,53,8,5,0,518,679,1003,2330,2827,2504,1234,242,19,0,10837
506041134,13,36,102,81,58,51,4,0,0,343,29,53,138,94,99,49,19,5,0,479,350,789,1999,1705,1496,1127,238,22,4,7720
506041135,21,40,97,84,88,43,23,0,0,398,29,44,102,122,114,47,12,0,0,476,497,803,2232,2374,1902,1064,207,9,0,9098
506041136,9,36,73,59,60,40,8,0,0,284,21,44,93,84,54,52,20,5,0,376,253,586,1364,1228,1062,788,199,20,3,5505
506041137,29,64,116,109,115,70,17,0,0,520,31,64,135,128,121,79,15,0,0,569,591,1017,2329,2211,2214,1791,374,30,0,10557
506051138,25,65,106,86,83,44,10,0,0,419,25,51,117,110,90,70,11,3,0,480,456,829,2200,2142,1735,1272,272,22,0,8918
506051139,17,47,89,63,60,38,12,0,0,330,15,28,62,59,61,42,10,3,0,288,332,602,1345,1227,1261,809,172,18,0,5770
506051140,23,43,42,57,68,57,15,0,0,312,19,25,40,60,71,74,19,6,0,319,448,582,867,1337,1722,1306,426,42,3,6734
506051141,21,33,41,38,73,49,12,0,0,261,19,11,24,41,51,40,14,4,0,200,370,403,622,1008,1378,946,275,39,0,5051
506061142,19,67,139,73,47,45,3,0,0,395,23,46,100,97,67,33,8,0,0,380,413,852,2519,1705,1249,751,126,6,0,7629
506061143,13,27,23,30,45,21,5,0,0,170,20,14,19,28,50,32,7,3,0,169,240,316,407,608,893,530,117,17,4,3126
506061144,4,11,13,9,19,8,3,0,0,70,3,10,10,29,31,20,9,0,0,102,94,121,235,329,552,331,103,14,3,1776
506071145,14,24,71,39,45,28,19,0,0,239,7,26,79,64,47,41,19,4,0,276,254,850,2208,1436,1213,997,298,27,3,7281
506071146,3,15,25,24,31,19,12,7,0,136,16,18,56,42,39,48,17,6,3,237,306,552,1003,859,1033,828,223,19,3,4834
506071147,3,24,78,38,43,40,18,0,0,252,7,23,95,67,86,52,26,4,0,366,316,813,2014,1684,1708,1335,483,45,7,8406
507011148,17,36,106,93,70,28,9,0,0,362,15,30,76,137,89,28,12,0,0,374,550,743,2121,2645,1806,755,158,7,3,8792
507011150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011152,9,24,40,49,42,28,5,4,0,205,6,23,38,52,61,27,15,3,0,230,272,388,778,927,1097,707,164,17,4,4355
507011153,13,18,42,29,25,16,4,0,0,153,11,9,43,38,38,19,4,0,0,161,182,313,839,867,830,535,129,13,0,3708
507011154,3,20,52,32,48,20,3,3,0,187,10,18,61,59,40,34,14,0,0,233,172,357,1128,1021,961,623,155,9,3,4433
507011155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7
507011158,0,8,8,4,8,8,3,0,0,38,6,10,10,17,17,8,3,5,0,76,54,107,270,248,325,211,68,9,0,1290
507011159,15,24,65,39,56,30,9,0,0,237,8,24,71,56,46,34,14,0,0,262,282,620,1419,1099,1175,878,187,12,4,5670
507011160,6,28,50,35,43,30,6,0,0,212,18,20,62,45,55,36,9,5,0,242,223,413,1017,993,906,706,154,17,0,4435
507011161,10,46,80,72,40,27,0,3,0,285,24,26,108,79,71,26,3,0,0,338,344,684,2346,2081,1283,630,97,16,0,7484
507011163,10,21,45,52,30,28,7,0,0,196,11,18,40,50,49,21,3,4,0,191,190,345,834,839,821,522,74,8,0,3639
507011259,11,22,59,47,41,21,4,0,0,208,15,29,51,62,45,29,9,0,0,246,227,377,1044,1041,878,477,95,8,3,4147
507011260,4,8,5,10,12,5,0,0,0,53,4,13,7,6,18,13,7,0,0,64,63,146,179,202,301,281,79,5,0,1261
507021164,3,13,13,13,28,22,0,0,0,90,4,12,33,31,36,28,4,0,0,148,170,316,545,732,951,725,179,22,0,3644
507021165,10,13,53,44,34,32,14,0,0,191,12,21,84,84,82,47,20,3,0,353,257,540,1886,1520,1560,1190,405,45,9,7412
507021166,8,17,47,41,46,34,15,0,0,209,14,31,75,67,71,55,6,0,0,321,295,508,1458,1424,1517,1114,300,25,3,6633
507021167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
507031169,14,32,102,66,34,19,3,0,0,269,17,35,90,73,35,12,6,3,0,268,303,665,2356,1790,1021,438,71,3,3,6650
507031170,0,16,29,24,18,10,3,0,0,101,7,22,33,31,39,21,5,0,0,169,138,306,643,604,600,366,63,5,0,2722
507031172,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,7,3,3,13,3,3,0,0,32
507031173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9
507031174,6,25,41,33,33,17,3,0,0,159,25,32,65,58,62,30,8,3,0,280,262,391,957,922,912,564,90,3,0,4108
507031261,0,14,34,22,14,16,3,0,0,109,3,28,56,28,28,29,3,0,0,174,144,328,893,536,461,319,48,4,0,2738
507041175,3,14,30,15,28,30,9,0,0,131,4,17,37,49,60,49,23,3,3,245,262,509,900,1018,1115,962,294,45,4,5118
507041176,0,4,11,12,10,13,7,0,0,51,0,8,8,13,13,15,0,0,0,64,112,186,316,358,402,306,84,5,0,1770
507041177,9,24,42,39,50,32,5,3,3,207,8,22,62,62,66,39,16,0,0,268,301,541,1340,1467,1511,1017,283,27,11,6502
507041178,8,27,33,50,45,24,3,0,0,186,15,21,52,60,65,37,16,4,0,277,349,636,1202,1388,1614,1088,349,43,0,6674
507041179,3,9,21,21,23,22,8,0,0,117,0,7,29,26,32,25,8,4,0,137,160,302,579,706,738,603,208,13,3,3312
507041180,9,23,33,38,44,40,11,0,0,203,3,30,53,44,53,45,16,3,0,254,326,572,920,1011,1220,1239,256,13,4,5566
507041181,7,34,63,35,63,38,8,3,3,252,20,25,43,109,83,54,12,5,0,361,458,684,1283,1727,1967,1178,315,51,3,7665
507041182,11,24,56,24,46,36,10,0,0,212,12,34,49,44,43,51,16,0,0,251,355,708,1188,931,1143,1128,263,19,3,5739
507041183,7,5,21,28,15,10,3,0,0,75,10,11,29,24,15,11,3,3,0,106,87,166,547,507,407,227,52,7,0,1994
507041184,3,6,8,11,16,20,4,0,0,70,9,12,14,9,23,17,16,0,0,94,202,332,441,452,643,638,167,10,0,2889
507051185,32,89,190,147,87,49,12,0,0,605,24,64,212,150,104,57,18,3,3,640,859,1636,4356,3538,2749,1300,218,20,7,14681
507051186,11,25,46,24,30,17,0,0,0,148,6,23,45,33,37,31,4,0,0,189,188,359,653,608,703,579,89,10,0,3188
507051187,17,35,48,37,40,16,8,0,0,199,11,23,60,75,59,28,3,3,0,261,462,600,1074,1327,1472,697,93,11,0,5733
507051188,10,24,56,46,52,32,9,0,0,229,17,38,54,54,69,56,8,3,0,303,307,772,1402,1218,1436,1083,224,22,4,6469
507051189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507051190,9,17,29,34,35,23,7,0,0,155,11,15,37,41,44,45,7,0,0,204,250,433,803,883,1063,882,153,23,4,4472
507051191,22,34,78,92,69,18,0,0,0,315,25,50,47,106,90,40,4,0,0,354,726,824,1690,2373,2283,799,117,12,0,8833
507051192,16,25,42,47,47,29,0,5,0,210,12,25,52,65,50,39,3,0,0,247,329,530,1039,1102,1272,832,108,8,0,5220
507051193,16,31,48,35,41,29,3,0,0,202,10,25,45,48,65,25,7,3,0,229,277,471,914,846,1080,653,86,6,0,4338
