SA2_MAINCODE_2016,DC0_4FSEOMSEO,DC0_4FSEOMSolsEVww,DC0_4FSEOMSolNwna,DC0_4FSEOMsol_pEns,DC0_4FSEOMSolsET,DC0_4FSEOM_LpEns,DC0_4FSEOMT,DC0_4FSolsEVwwMSEO,DC0_4FSolsEVwwMSolsEVww,DC0_4FSolsEVwwMSolNwna,DC0_4FSolsEVwwMsol_pEns,DC0_4FSolsEVwwMSolsET,DC0_4FSolsEVwwM_LpEns,DC0_4FSolsEVwwMT,DC0_4FSolNwnaMSEO,DC0_4FSolNwnaMSolsEVww,DC0_4FSolNwnaMSolNwna,DC0_4FSolNwnaMsol_pEns,DC0_4FSolNwnaMSolsET,DC0_4FSolNwnaM_LpEns,DC0_4FSolNwnaMT,DC0_4FSol_pEnsMSEO,DC0_4FSol_pEnsMSolsEVww,DC0_4FSol_pEnsMSolNwna,DC0_4FSol_pEnsMsol_pEns,DC0_4FSol_pEnsMSolsET,DC0_4FSol_pEnsM_LpEns,DC0_4FSol_pEnsMT,DC0_4FSolsETMSEO,DC0_4FSolsETMSolsEVww,DC0_4FSolsETMSolNwna,DC0_4FSolsETMsol_pEns,DC0_4FSolsETMSolsET,DC0_4FSolsETM_LpEns,DC0_4FSolsETMT,DC0_4F_LpEnsMSEO,DC0_4F_LpEnsMSolsEVww,DC0_4F_LpEnsMSolNwna,DC0_4F_LpEnsMsol_pEns,DC0_4F_LpEnsMSolsET,DC0_4F_LpEnsM_LpEns,DC0_4F_LpEnsMT,DC0_4FTMSEO,DC0_4FTMSolsEVww,DC0_4FTMSolNwna,DC0_4FTMsol_pEns,DC0_4FTMSolsET,DC0_4FTM_LpEns,DC0_4FTMT,DC5_9FSEOMSEO,DC5_9FSEOMSolsEVww,DC5_9FSEOMSolNwna,DC5_9FSEOMsol_pEns,DC5_9FSEOMSolsET,DC5_9FSEOM_LpEns,DC5_9FSEOMT,DC5_9FSolsEVwwMSEO,DC5_9FSolsEVwwMSolsEVww,DC5_9FSolsEVwwMSolNwna,DC5_9FSolsEVwwMsol_pEns,DC5_9FSolsEVwwMSolsET,DC5_9FSolsEVwwM_LpEns,DC5_9FSolsEVwwMT,DC5_9FSolNwnaMSEO,DC5_9FSolNwnaMSolsEVww,DC5_9FSolNwnaMSolNwna,DC5_9FSolNwnaMsol_pEns,DC5_9FSolNwnaMSolsET,DC5_9FSolNwnaM_LpEns,DC5_9FSolNwnaMT,DC5_9FSol_pEnsMSEO,DC5_9FSol_pEnsMSolsEVww,DC5_9FSol_pEnsMSolNwna,DC5_9FSol_pEnsMsol_pEns,DC5_9FSol_pEnsMSolsET,DC5_9FSol_pEnsM_LpEns,DC5_9FSol_pEnsMT,DC5_9FSolsETMSEO,DC5_9FSolsETMSolsEVww,DC5_9FSolsETMSolNwna,DC5_9FSolsETMsol_pEns,DC5_9FSolsETMSolsET,DC5_9FSolsETM_LpEns,DC5_9FSolsETMT,DC5_9F_LpEnsMSEO,DC5_9F_LpEnsMSolsEVww,DC5_9F_LpEnsMSolNwna,DC5_9F_LpEnsMsol_pEns,DC5_9F_LpEnsMSolsET,DC5_9F_LpEnsM_LpEns,DC5_9F_LpEnsMT,DC5_9FTMSEO,DC5_9FTMSolsEVww,DC5_9FTMSolNwna,DC5_9FTMsol_pEns,DC5_9FTMSolsET,DC5_9FTM_LpEns,DC5_9FTMT,DC10_12FSEOMSEO,DC10_12FSEOMSolsEVww,DC10_12FSEOMSolNwna,DC10_12FSEOMsol_pEns,DC10_12FSEOMSolsET,DC10_12FSEOM_LpEns,DC10_12FSEOMT,DC10_12FSolsEVwwMSEO,DC10_12FSolsEVwwMSolsEVww,DC10_12FSolsEVwwMSolNwna,DC10_12FSolsEVwwMsol_pEns,DC10_12FSolsEVwwMSolsET,DC10_12FSolsEVwwM_LpEns,DC10_12FSolsEVwwMT,DC10_12FSolNwnaMSEO,DC10_12FSolNwnaMSolsEVww,DC10_12FSolNwnaMSolNwna,DC10_12FSolNwnaMsol_pEns,DC10_12FSolNwnaMSolsET,DC10_12FSolNwnaM_LpEns,DC10_12FSolNwnaMT,DC10_12FSol_pEnsMSEO,DC10_12FSol_pEnsMSolsEVww,DC10_12FSol_pEnsMSolNwna,DC10_12FSol_pEnsMsol_pEns,DC10_12FSol_pEnsMSolsET,DC10_12FSol_pEnsM_LpEns,DC10_12FSol_pEnsMT,DC10_12FSolsETMSEO,DC10_12FSolsETMSolsEVww,DC10_12FSolsETMSolNwna,DC10_12FSolsETMsol_pEns,DC10_12FSolsETMSolsET,DC10_12FSolsETM_LpEns,DC10_12FSolsETMT,DC10_12F_LpEnsMSEO,DC10_12F_LpEnsMSolsEVww,DC10_12F_LpEnsMSolNwna,DC10_12F_LpEnsMsol_pEns,DC10_12F_LpEnsMSolsET,DC10_12F_LpEnsM_LpEns,DC10_12F_LpEnsMT,DC10_12FTMSEO,DC10_12FTMSolsEVww,DC10_12FTMSolNwna,DC10_12FTMsol_pEns,DC10_12FTMSolsET,DC10_12FTM_LpEns,DC10_12FTMT,DC13_14FSEOMSEO,DC13_14FSEOMSolsEVww,DC13_14FSEOMSolNwna,DC13_14FSEOMsol_pEns,DC13_14FSEOMSolsET,DC13_14FSEOM_LpEns,DC13_14FSEOMT,DC13_14FSolsEVwwMSEO,DC13_14FSolsEVwwMSolsEVww,DC13_14FSolsEVwwMSolNwna,DC13_14FSolsEVwwMsol_pEns,DC13_14FSolsEVwwMSolsET,DC13_14FSolsEVwwM_LpEns,DC13_14FSolsEVwwMT,DC13_14FSolNwnaMSEO,DC13_14FSolNwnaMSolsEVww,DC13_14FSolNwnaMSolNwna,DC13_14FSolNwnaMsol_pEns,DC13_14FSolNwnaMSolsET,DC13_14FSolNwnaM_LpEns,DC13_14FSolNwnaMT,DC13_14FSol_pEnsMSEO,DC13_14FSol_pEnsMSolsEVww,DC13_14FSol_pEnsMSolNwna,DC13_14FSol_pEnsMsol_pEns,DC13_14FSol_pEnsMSolsET,DC13_14FSol_pEnsM_LpEns,DC13_14FSol_pEnsMT,DC13_14FSolsETMSEO,DC13_14FSolsETMSolsEVww,DC13_14FSolsETMSolNwna,DC13_14FSolsETMsol_pEns,DC13_14FSolsETMSolsET,DC13_14FSolsETM_LpEns,DC13_14FSolsETMT,DC13_14F_LpEnsMSEO,DC13_14F_LpEnsMSolsEVww,DC13_14F_LpEnsMSolNwna,DC13_14F_LpEnsMsol_pEns,DC13_14F_LpEnsMSolsET,DC13_14F_LpEnsM_LpEns,DC13_14F_LpEnsMT,DC13_14FTMSEO,DC13_14FTMSolsEVww,DC13_14FTMSolNwna,DC13_14FTMsol_pEns,DC13_14FTMSolsET,DC13_14FTM_LpEns,DC13_14FTMT,DC15_17FSEOMSEO,DC15_17FSEOMSolsEVww,DC15_17FSEOMSolNwna,DC15_17FSEOMsol_pEns
501021012,576,12,0,0,12,0,586,12,65,0,0,63,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,65,0,0,63,0,73,0,0,0,0,0,3,3,588,76,0,0,72,3,663,500,3,0,0,3,0,504,12,38,0,0,39,4,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,38,0,0,39,4,51,0,0,0,0,0,0,0,514,42,0,0,40,3,558,270,3,0,0,3,0,275,8,19,0,0,19,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,19,0,31,0,0,0,0,0,0,0,278,21,0,0,21,0,305,178,3,0,0,3,0,179,0,16,0,0,16,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,0,19,0,0,0,0,0,0,0,175,21,0,0,21,0,196,227,6,0,0
501021014,293,3,0,0,3,0,296,9,32,0,0,29,0,40,0,5,0,0,5,0,5,0,0,0,0,0,0,0,9,36,0,0,38,0,43,0,0,0,0,0,0,0,300,34,0,0,35,0,336,370,3,0,0,3,0,377,6,41,0,0,41,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41,0,0,44,0,48,0,0,0,0,0,0,0,374,43,0,0,44,0,426,207,3,0,0,3,4,218,4,31,0,0,30,0,30,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,28,0,0,34,0,34,0,0,0,0,0,0,0,214,31,0,0,35,4,250,130,3,0,0,3,0,137,3,21,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,0,0,21,0,20,0,0,0,0,0,0,3,140,25,0,0,25,3,160,193,10,0,0
501021015,244,7,0,0,7,0,252,14,43,0,0,43,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,42,0,0,42,0,56,0,0,0,0,0,0,0,254,48,0,0,48,0,304,235,3,0,0,3,3,237,4,31,0,0,31,0,35,0,0,5,0,3,0,3,0,0,0,0,0,0,0,4,35,5,0,36,0,41,0,0,0,0,0,0,0,237,34,5,0,42,3,281,122,4,0,0,4,0,127,3,13,0,0,13,0,20,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,13,0,0,18,0,19,0,0,0,0,0,0,0,125,17,0,0,21,0,145,82,0,0,0,0,0,87,0,13,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,15,0,17,0,0,0,0,0,0,0,81,14,0,0,17,0,98,95,8,0,0
501021016,117,3,0,0,3,0,118,6,11,0,0,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,11,0,20,0,0,0,0,0,0,0,128,9,0,0,9,0,142,147,0,0,0,0,0,143,7,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,3,0,4,0,0,0,0,0,0,0,152,5,0,0,5,0,151,102,0,0,0,0,0,103,3,6,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,6,0,4,0,0,0,0,0,0,0,106,3,0,0,6,0,110,67,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,68,3,0,0,3,0,73,68,0,0,0
501021251,396,8,0,0,8,0,411,18,84,0,0,86,0,105,0,8,0,0,8,0,8,0,0,0,0,0,0,0,18,87,0,0,91,0,111,0,0,0,0,0,0,0,416,104,0,0,102,0,520,445,9,0,0,9,0,451,18,80,0,0,80,0,100,0,3,0,0,3,0,3,0,0,0,0,0,0,0,18,88,0,0,88,0,104,0,0,0,0,0,0,0,466,93,0,0,93,0,555,271,0,0,0,0,3,274,5,57,0,0,57,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,57,0,0,57,0,59,0,0,0,0,0,0,0,280,59,0,0,59,3,341,168,7,0,0,7,0,180,6,39,0,0,39,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,39,0,0,39,0,48,0,0,0,0,0,0,0,175,53,0,0,53,0,228,229,5,0,0
501021252,94,0,0,0,0,0,96,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,93,4,0,0,4,0,103,137,0,0,0,0,0,138,4,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,6,0,6,0,0,0,0,0,0,0,142,6,0,0,6,3,150,110,0,0,0,0,0,110,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,116,0,0,0,0,0,118,81,0,0,0,0,0,86,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,81,5,0,0,5,0,85,126,0,0,0
501021253,331,8,0,0,8,0,343,25,66,0,0,66,0,92,0,8,0,0,8,0,8,0,0,0,0,0,0,0,25,71,0,0,72,0,100,0,0,0,0,0,0,0,354,84,0,0,85,0,447,379,9,0,0,9,0,382,15,44,0,0,44,0,63,0,3,0,0,3,0,3,0,0,0,0,0,0,0,19,47,0,0,47,0,65,0,0,0,0,0,0,3,395,59,0,0,56,0,454,242,5,0,0,5,0,251,10,19,0,0,18,0,27,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8,21,0,0,24,0,30,0,0,0,0,0,0,0,253,27,0,0,29,0,283,127,7,0,0,7,0,127,7,15,0,0,15,0,21,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,15,0,0,17,0,24,0,0,0,0,0,0,0,132,21,0,0,17,0,155,192,3,0,0
501021254,166,0,0,0,0,0,164,3,20,0,0,20,0,21,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,18,0,0,23,0,25,0,0,0,0,0,0,0,166,20,0,0,21,0,192,150,0,0,0,0,0,150,3,15,0,0,18,0,19,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,21,0,0,16,0,22,0,0,0,0,0,0,0,157,21,0,0,16,0,176,76,0,0,0,0,0,76,0,14,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,15,0,15,0,0,0,0,0,0,0,76,13,0,0,15,0,89,42,4,0,0,4,0,43,3,7,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,7,0,9,0,0,0,0,0,0,0,41,11,0,0,11,0,48,61,3,0,0
501031017,211,0,0,0,0,3,216,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,219,0,0,0,0,3,223,262,4,0,0,4,0,267,10,13,0,0,13,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,0,0,13,0,22,3,0,0,0,0,0,3,279,15,0,0,15,0,288,169,3,0,0,3,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,3,0,0,3,0,174,88,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,3,91,0,0,0,0,0,96,97,0,0,0
501031018,209,0,0,0,0,0,209,5,3,0,0,4,0,8,0,3,4,0,9,0,9,0,0,0,0,0,0,0,5,8,8,0,9,0,15,0,0,0,0,0,0,0,221,8,8,0,9,0,232,229,0,0,0,0,0,229,12,5,0,0,5,0,18,0,0,3,0,3,0,3,0,0,0,0,0,0,0,12,5,3,0,9,0,22,0,0,0,0,0,0,0,243,5,3,0,9,0,247,150,0,0,0,0,0,148,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,151,0,0,0,3,0,155,98,3,0,0,3,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,3,0,0,3,0,98,115,3,0,0
501031019,213,0,0,0,0,0,213,10,11,0,0,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,11,0,20,0,0,0,0,0,0,0,228,11,0,0,11,0,240,208,9,0,0,9,0,215,0,11,0,0,11,0,9,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,9,0,0,9,0,14,0,0,0,0,0,0,4,210,20,0,0,20,0,233,154,0,0,0,0,0,154,4,9,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,11,0,12,0,0,0,0,0,0,3,155,11,0,0,11,0,165,100,4,0,0,4,0,103,0,5,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,6,0,0,0,0,0,0,0,98,8,0,0,8,0,106,127,0,0,0
501031020,105,3,0,0,3,0,104,3,4,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,6,0,15,0,0,0,0,0,0,0,111,13,5,0,15,0,122,176,0,0,0,0,0,175,3,8,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,7,0,8,0,0,0,0,0,0,0,179,7,3,0,5,0,185,112,0,0,0,0,0,117,0,4,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,6,0,0,0,0,0,0,0,113,5,0,0,7,0,119,95,3,0,0,3,0,97,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,93,7,0,0,7,0,98,103,0,0,0
502011021,230,6,0,0,6,0,232,19,17,0,0,17,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0,0,17,0,35,0,0,0,0,0,0,0,244,21,0,0,21,0,269,313,3,0,0,3,0,315,12,13,0,0,13,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,0,13,0,29,3,0,0,0,0,0,3,325,17,0,0,17,0,346,172,3,0,0,3,0,181,12,7,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,7,0,20,0,0,0,0,0,0,0,179,16,0,0,16,0,195,93,0,0,0,0,0,90,4,8,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,6,0,12,0,0,0,0,0,0,0,95,5,0,0,12,0,108,126,0,0,0
502011022,238,4,0,0,4,0,248,15,11,0,0,15,0,26,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,15,0,0,15,0,27,0,0,0,0,0,0,0,255,23,0,0,22,0,274,281,4,0,0,4,0,292,18,13,0,0,13,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,0,13,0,31,0,3,0,0,3,0,3,299,21,0,0,22,0,323,173,3,0,0,3,0,178,6,4,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,4,0,13,0,0,0,0,0,0,0,188,10,0,0,10,0,198,120,0,0,0,0,0,125,7,5,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,5,0,11,0,0,0,0,0,0,0,127,9,0,0,9,0,131,162,3,0,0
502011023,311,3,0,0,3,5,321,21,26,0,0,26,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,26,0,0,26,0,41,0,0,0,0,0,0,0,330,27,0,0,27,5,369,299,3,0,0,3,0,305,12,13,0,0,13,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,13,0,26,0,0,0,0,0,0,0,306,22,0,0,22,3,332,136,5,0,0,5,0,141,8,13,0,0,13,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,18,0,26,0,0,0,0,0,0,0,145,16,0,0,18,0,162,116,3,0,0,3,0,117,6,4,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,4,0,11,0,0,0,0,0,0,0,123,5,0,0,5,0,124,137,3,0,0
502011024,525,10,0,0,10,3,541,37,41,0,0,42,0,76,0,9,3,0,12,0,12,3,0,0,0,0,0,3,37,43,3,0,49,0,91,3,0,0,0,0,0,3,564,56,3,0,60,3,630,602,3,0,0,3,0,610,38,41,0,3,45,3,83,0,7,0,0,7,0,7,0,0,0,0,0,0,0,38,44,0,3,48,3,92,3,0,0,0,0,0,3,644,51,0,3,59,3,698,384,10,0,0,10,0,389,17,29,0,0,29,0,45,0,5,0,0,3,0,3,0,0,0,0,0,0,0,17,33,0,0,32,0,50,0,0,0,0,0,0,0,401,40,0,0,43,0,443,241,6,0,0,6,0,250,6,27,0,0,27,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,0,0,30,0,35,0,0,0,0,0,0,0,255,36,0,0,35,0,284,352,4,0,0
502011025,150,4,0,0,4,0,152,4,44,0,0,48,0,52,0,10,0,0,10,0,10,0,0,0,0,0,0,0,4,52,0,0,58,0,62,0,0,0,0,0,0,0,156,57,0,0,56,0,211,136,0,0,0,0,0,136,6,47,5,0,55,0,61,0,3,0,0,3,0,3,0,0,0,0,0,0,0,6,50,5,0,55,0,68,0,0,0,0,0,0,0,144,56,5,0,63,0,203,89,3,0,0,3,0,85,4,25,0,0,24,0,35,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,30,3,0,30,0,38,0,0,0,0,0,0,0,94,28,3,0,30,0,125,37,0,0,0,0,0,41,0,11,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,10,0,0,0,0,0,0,0,39,10,0,0,10,0,51,63,0,0,0
502011026,150,3,0,0,3,3,156,9,3,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,3,0,12,3,0,3,0,3,0,3,157,3,3,0,10,3,168,162,0,0,0,0,0,167,0,12,0,0,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,10,0,0,0,0,0,0,0,168,9,0,0,9,6,183,120,0,0,0,0,0,120,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,120,4,0,0,4,0,122,74,0,0,0,0,0,74,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,74,6,0,0,6,0,77,93,0,0,0
502011027,722,16,0,0,18,0,742,50,94,3,0,98,0,141,0,3,0,0,3,0,3,0,0,0,0,0,0,0,51,94,3,0,99,0,145,0,0,0,0,0,0,0,765,116,3,3,122,0,890,792,15,0,0,15,4,814,41,98,0,0,101,0,138,0,0,0,0,4,0,4,3,0,0,0,0,0,3,41,99,3,3,103,0,145,0,0,0,0,0,0,0,837,116,3,3,116,4,958,418,9,0,0,9,0,426,25,47,3,0,53,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,47,3,0,53,0,80,0,0,0,0,0,0,0,446,56,3,0,63,0,506,240,6,0,0,6,0,246,14,40,0,0,44,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,40,5,0,49,0,61,0,0,0,0,0,0,0,254,45,5,0,50,0,305,346,12,0,0
502011028,232,9,0,0,9,0,247,10,29,0,0,29,0,40,0,3,0,0,3,0,3,0,0,0,0,0,0,0,15,30,0,0,32,0,45,0,0,0,0,0,0,0,252,43,0,0,40,0,289,255,5,0,0,5,0,264,20,27,0,0,27,0,49,0,3,0,0,3,0,3,0,0,0,0,0,0,0,20,27,0,0,33,0,51,0,0,0,0,0,0,0,276,38,0,0,38,0,315,116,4,0,0,4,0,120,6,10,0,0,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,10,0,20,0,0,0,0,0,0,0,125,14,0,0,13,0,142,78,4,0,0,4,0,85,10,10,0,0,10,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,8,0,0,8,0,22,0,0,0,0,0,0,0,87,15,0,0,15,0,102,127,0,0,0
502011029,359,7,0,0,7,3,362,12,5,0,0,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,5,0,17,0,0,0,0,0,0,0,369,7,0,0,7,0,376,402,0,0,0,0,0,402,9,16,0,0,16,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,0,0,16,0,25,0,0,0,0,0,0,0,410,15,0,0,15,0,430,224,3,0,0,3,0,220,3,13,0,0,13,0,11,0,4,0,0,4,0,4,0,0,0,0,0,0,0,3,12,0,0,12,0,14,0,0,0,0,0,0,0,226,17,0,0,17,0,235,128,0,0,0,3,0,133,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,5,0,0,0,0,0,0,0,134,3,0,0,9,0,141,163,0,0,0
503011030,147,8,0,0,8,0,149,12,23,0,0,23,0,38,0,0,0,0,0,0,0,0,3,0,0,3,0,3,12,26,0,0,26,0,36,0,0,0,0,0,0,0,158,29,0,0,29,0,191,308,13,0,0,13,0,315,25,34,0,0,34,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,39,0,0,39,0,62,0,0,0,0,0,0,0,327,49,0,0,49,0,381,244,9,0,0,9,0,255,12,30,0,0,30,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,0,0,30,0,37,0,0,0,0,0,0,0,261,36,0,0,35,0,291,145,0,0,0,0,0,146,14,16,0,0,18,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0,0,20,0,30,0,0,0,0,0,0,0,157,17,3,0,18,0,172,221,5,0,0
503011031,178,15,0,0,15,0,190,22,44,0,0,43,0,66,0,3,0,0,3,0,3,0,0,0,0,0,0,0,22,49,0,0,51,0,70,0,0,0,0,0,0,0,200,59,0,0,61,0,257,209,3,0,0,3,0,213,11,33,0,0,32,0,46,0,0,0,0,6,0,6,0,0,0,0,0,0,0,11,32,0,0,37,0,51,0,0,0,0,0,3,3,221,36,0,0,43,3,266,139,3,0,0,3,0,139,9,25,0,0,27,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,29,0,0,30,0,38,0,0,0,0,0,3,3,150,31,0,0,27,3,182,105,3,0,0,3,0,113,6,12,0,0,12,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,16,0,22,0,0,0,0,0,0,0,114,15,0,0,18,0,133,138,5,0,0
503011032,232,15,0,0,12,0,247,10,22,0,0,26,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,0,0,26,0,35,0,0,0,0,0,0,0,242,39,0,0,39,0,284,314,9,0,0,9,0,322,14,20,0,0,20,0,40,0,3,0,0,3,0,3,0,0,0,0,0,0,0,14,22,0,0,22,0,41,3,0,0,0,0,0,0,333,30,0,0,30,0,363,199,5,0,0,5,0,209,5,11,0,0,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,11,0,16,0,0,0,0,0,0,0,204,21,0,0,21,0,225,138,3,0,0,3,0,148,3,9,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,9,0,12,0,0,0,0,0,0,0,145,16,0,0,16,0,160,173,4,0,0
503011033,315,12,0,0,12,0,330,35,35,0,0,37,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,39,0,72,0,0,0,0,0,0,0,349,51,0,0,53,0,401,486,18,0,0,18,0,507,32,54,0,0,52,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,54,0,0,57,0,92,0,0,0,0,0,0,0,522,73,0,0,78,0,599,298,12,0,0,12,0,306,22,30,0,0,30,0,52,3,0,0,0,0,0,3,0,0,0,0,0,0,0,23,30,0,0,30,0,51,0,0,0,0,0,0,0,320,42,0,0,42,0,356,180,3,0,0,3,0,184,18,15,0,0,15,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,0,0,20,0,38,0,0,0,0,0,0,0,195,24,0,0,24,0,223,217,6,0,0
503011034,265,14,0,0,14,0,277,26,54,0,0,56,0,87,0,4,0,0,6,0,6,0,0,0,0,0,0,0,26,57,0,0,58,0,86,0,0,0,0,0,0,0,292,69,0,0,70,0,365,341,9,0,0,9,0,356,20,46,0,0,51,0,74,0,3,0,0,3,0,3,0,0,0,3,4,0,4,20,54,3,3,56,0,81,0,0,0,0,0,0,0,363,66,3,3,65,0,435,266,3,0,0,3,0,272,12,35,0,0,35,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,0,0,33,0,52,0,0,0,0,0,0,0,281,40,0,0,40,0,319,184,3,0,0,3,0,183,13,16,0,0,16,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,0,0,19,0,33,0,0,0,0,0,0,0,196,24,0,0,20,0,218,264,6,0,0
