SA2_MAINCODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_ns,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1946,Korea_Rep_South_1946_1955,Korea_Rep_South_1956_1965,Korea_Rep_South_1966_1975,Korea_Rep_South_1976_1985,Korea_Rep_South_1986_1995,Korea_Rep_South_1996_2005,Korea_Rep_South_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repblic_Sth_Yr_arr_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_ns,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_ns,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
501021012,3,13,5,0,0,0,0,41,0,10,5,5,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,10,3,0,0,3,3,4,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,6,6,0,6,3,0,0,0,0,0,0,0,56,0,0,0,9,50,49,68,108,13,41,18,16,10,6,15,413,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,4,3,4,8,19,8,3,11,14,3,8,4,82,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,20,0,0,0,0,4,0,0,0,28
501021014,0,0,0,0,0,0,0,20,12,54,39,18,4,0,3,0,0,0,0,0,0,0,8,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,9,3,0,0,0,0,0,0,0,0,0,5,34,0,0,5,15,35,38,30,20,6,0,3,4,0,0,14,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,77,26,43,36,37,53,20,9,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
501021015,6,0,0,0,0,0,0,28,3,31,39,4,0,0,0,0,0,0,0,0,0,0,7,87,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10,0,0,0,0,0,0,3,3,0,0,0,0,4,3,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,9,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,5,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,9,21,44,27,39,18,12,4,4,0,0,10,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,9,57,3,9,21,18,14,0,0,148,0,9,5,0,6,3,0,0,0,0,0,0,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11
501021016,0,0,0,0,0,0,0,7,3,34,15,10,0,0,0,0,0,0,0,0,0,0,8,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,0,0,0,0,0,0,0,0,17,0,0,0,9,14,11,16,27,0,0,7,0,0,0,3,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,4,3,0,3,0,0,0,35,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
501021251,3,0,5,0,0,0,0,35,0,5,3,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,13,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,11,0,0,0,0,4,5,0,0,0,0,6,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,6,22,45,59,62,21,20,16,14,13,0,11,289,0,0,0,0,0,0,3,13,5,0,3,4,0,0,0,30,0,0,0,0,9,8,10,103,3,7,0,4,11,0,0,155,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,18
501021252,0,0,0,0,0,0,0,9,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,19,6,14,3,0,3,0,0,0,0,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
501021253,3,13,19,6,0,0,0,84,3,70,34,7,0,0,4,0,0,0,3,4,0,0,8,124,0,0,0,0,0,0,3,0,0,0,4,0,0,3,0,15,0,0,0,0,3,0,5,13,0,3,0,3,13,6,14,56,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,14,0,0,3,4,3,6,4,5,3,6,0,0,0,0,0,35,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,5,3,4,7,0,0,0,0,0,0,0,3,58,0,6,6,26,59,55,48,51,10,19,17,15,8,0,3,322,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,11,0,0,0,0,8,0,3,23,4,29,13,13,21,4,0,109,0,12,3,0,5,0,0,6,0,0,0,0,0,0,3,25,0,0,0,3,4,3,3,3,0,0,0,0,0,0,0,13
501021254,0,0,0,0,0,0,0,24,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,6,6,3,0,0,0,0,0,0,0,0,0,0,29,0,0,3,6,25,28,25,22,3,5,3,3,0,0,8,134,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,3,0,20,4,4,15,7,3,4,0,82,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
501031017,0,3,0,0,0,0,0,17,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,3,0,3,0,0,0,0,0,0,0,0,41,0,0,3,19,38,45,25,20,4,0,0,0,0,0,9,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,0,3,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4
501031018,0,3,0,0,0,0,0,13,0,16,21,3,0,0,0,0,0,0,0,3,0,3,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,4,0,0,0,0,0,3,0,0,0,0,26,0,0,0,16,33,18,21,6,0,0,0,3,0,0,3,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,19,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
501031019,0,0,0,0,0,0,0,7,0,22,27,3,0,0,0,0,0,0,0,0,3,0,4,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,19,14,6,3,3,3,3,0,0,0,7,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,11,0,0,3,4,3,0,3,36,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
501031020,3,0,0,0,0,0,0,12,0,12,11,3,0,0,0,0,0,0,4,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,6,0,3,3,0,0,0,0,0,0,0,0,24,0,0,0,8,46,31,18,6,0,4,3,4,0,0,11,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,5
502011021,4,0,0,0,0,0,0,25,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,7,0,9,0,0,3,0,0,0,0,3,0,0,39,0,0,0,9,52,53,36,48,14,13,4,7,0,0,5,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,9,0,0,0,0,0,0,0,28,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,3,4,0,0,0,0,0,0,0,0,10
502011022,3,0,4,0,0,0,0,36,0,12,9,3,0,0,0,5,0,3,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,4,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,9,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,22,4,3,0,0,4,0,0,0,0,0,0,0,0,36,4,0,3,30,42,43,40,43,20,15,17,10,6,0,9,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,11,3,0,0,0,0,0,0,33,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,11
