SA2_MAINCODE_2016,M_0_299_Separate_house,M_0_299_Sd_rw_tce_hse_th,M_0_299_Flat_apartment,M_0_299_Other_dwelling,M_0_299_Dwelling_structure_NS,M_0_299_Tot,M_300_449_Separate_house,M_300_449_Sd_rw_tce_hse_th,M_300_449_Flat_apartment,M_300_449_Other_dwelling,M_300_449_Dwg_structure_NS,M_300_449_Tot,M_450_599_Separate_house,M_450_599_Sd_rw_tce_hse_th,M_450_599_Flat_apartment,M_450_599_Other_dwelling,M_450_599_Dwg_structure_NS,M_450_599_Tot,M_600_799_Separate_house,M_600_799_Sd_rw_tce_hse_th,M_600_799_Flat_apartment,M_600_799_Other_dwelling,M_600_799_Dwg_structure_NS,M_600_799_Tot,M_800_999_Separate_house,M_800_999_Sd_rw_tce_hse_th,M_800_999_Flat_apartment,M_800_999_Other_dwelling,M_800_999_Dwg_structure_NS,M_800_999_Tot,M_1000_1399_Separate_house,M_1000_1399_Sd_rw_tce_hse_th,M_1000_1399_Flat_apartmnt,M_1000_1399_Other_dwelling,M_1000_1399_Dwg_structure_NS,M_1000_1399_Tot,M_1400_1799_Separate_house,M_1400_1799_Sd_rw_tce_hse_th,M_1400_1799_Flat_apartmnt,M_1400_1799_Other_dwelling,M_1400_1799_Dwg_structure_NS,M_1400_1799_Tot,M_1800_2399_Separate_house,M_1800_2399_Sd_rw_tce_hse_th,M_1800_2399_Flat_apartmnt,M_1800_2399_Other_dwelling,M_1800_2399_Dwg_structure_NS,M_1800_2399_Tot,M_2400_2999_Separate_house,M_2400_2999_Sd_rw_tce_hse_th,M_2400_2999_Flat_apartmnt,M_2400_2999_Other_dwelling,M_2400_2999_Dwg_structure_NS,M_2400_2999_Tot,M_3000_3999_Separate_house,M_3000_3999_Sd_rw_tce_hse_th,M_3000_3999_Flat_apartmnt,M_3000_3999_Other_dwelling,M_3000_3999_Dwg_structure_NS,M_3000_3999_Tot,M_4000_over_Separate_house,M_4000_over_Sd_rw_tce_hse_th,M_4000_over_Flat_apartmnt,M_4000_over_Other_dwelling,M_4000_over_Dwg_structure_NS,M_4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
501021253,66,11,3,0,0,76,34,7,0,0,0,37,30,7,0,0,0,32,29,5,0,0,0,33,60,8,0,0,0,70,169,48,6,0,0,224,177,36,8,0,3,228,265,27,3,0,0,305,126,11,3,0,0,139,99,14,5,0,0,120,70,4,0,0,0,71,31,10,6,0,0,45,1159,180,42,0,0,1383
501021254,40,3,0,0,0,43,18,0,0,0,0,20,13,0,0,0,0,15,43,3,0,3,0,49,50,3,0,0,0,57,134,7,0,0,0,141,174,6,0,0,0,182,122,0,0,0,0,123,19,0,0,0,0,22,13,0,0,0,0,13,4,0,0,0,0,4,23,0,0,0,0,23,652,26,0,3,0,688
501031017,63,0,0,0,3,63,37,0,0,0,0,37,28,0,0,0,0,29,52,0,0,0,0,49,46,0,0,0,0,46,129,0,0,0,0,129,148,0,0,0,0,151,129,0,0,0,0,129,61,0,0,0,0,61,46,0,0,0,0,49,33,0,0,0,0,33,40,0,0,0,0,37,807,0,0,7,0,818
501031018,47,0,0,0,0,47,11,0,0,0,0,17,26,0,0,0,0,26,43,0,0,0,0,43,47,0,0,0,0,49,143,0,0,0,0,148,142,0,0,0,0,149,164,0,0,0,0,167,69,0,0,0,0,65,49,0,0,0,0,51,19,0,0,0,0,21,42,0,0,0,0,42,809,9,0,9,8,830
501031019,22,0,0,0,0,22,19,0,0,0,0,17,10,0,0,0,0,15,42,3,0,0,0,42,53,0,0,0,0,61,167,4,0,0,0,169,117,0,0,0,0,117,91,0,0,0,0,91,29,0,0,0,0,29,25,0,0,0,0,25,23,0,0,0,0,23,31,0,0,0,0,35,630,9,4,0,0,648
501031020,30,0,0,0,0,37,34,0,0,0,0,29,22,0,0,0,0,25,30,0,0,0,0,30,26,0,0,3,0,29,114,0,0,4,0,120,65,0,0,0,0,71,69,0,0,3,0,70,32,0,0,0,0,35,24,0,0,0,0,20,22,0,0,0,0,23,29,0,0,0,0,25,505,3,0,17,3,525
502011021,41,0,0,0,0,42,18,0,0,0,0,23,18,0,0,0,0,18,34,0,0,0,0,31,42,0,0,0,0,42,120,3,0,0,0,124,163,3,0,0,0,165,308,0,0,0,0,308,159,0,0,0,0,162,85,0,0,0,0,90,53,0,3,0,0,56,39,0,0,0,0,39,1082,10,3,0,3,1102
502011022,59,3,0,0,0,61,27,0,0,0,0,29,17,0,0,0,0,20,31,4,0,0,0,38,35,0,0,0,0,37,133,8,0,0,0,142,181,15,0,0,0,196,265,12,0,0,0,280,126,11,0,0,0,135,95,3,3,3,0,106,52,6,0,0,0,56,47,0,0,0,0,49,1069,63,5,4,4,1149
502011023,74,0,0,0,0,77,30,4,0,0,0,37,30,0,0,0,0,34,57,3,0,0,0,66,69,5,0,0,0,76,232,15,5,0,0,247,322,8,0,0,0,328,269,4,0,0,0,278,73,0,0,0,0,73,50,0,0,0,0,50,29,0,0,0,0,26,69,0,0,0,0,73,1307,47,5,0,0,1362
502011024,114,5,3,0,0,126,35,5,0,0,0,38,35,0,0,0,0,35,65,10,0,0,0,78,89,4,0,0,0,90,268,16,0,0,0,288,398,25,3,0,0,422,636,15,6,0,0,660,317,3,0,0,0,325,204,7,0,0,0,214,131,0,0,0,0,135,95,3,0,0,0,100,2393,95,14,0,3,2512
502011025,35,11,5,0,0,51,12,10,0,0,0,22,17,9,3,0,0,27,25,12,4,0,0,43,25,5,3,0,0,40,87,38,15,0,0,135,104,50,18,0,0,169,93,23,16,0,0,127,21,4,13,0,0,36,28,7,18,0,0,52,11,7,14,0,0,25,25,11,3,0,0,41,486,180,105,0,0,768
502011026,45,0,0,0,0,47,20,3,0,0,0,20,15,0,0,0,0,15,30,0,0,0,0,29,33,0,0,0,0,33,87,3,0,0,0,84,98,4,0,0,0,98,177,0,0,0,0,183,107,0,0,0,0,107,71,0,0,0,0,71,40,0,0,0,0,40,50,0,0,0,0,48,762,9,5,3,0,778
502011027,94,4,0,0,0,93,27,3,0,0,0,32,38,0,0,0,0,36,55,3,0,0,0,56,76,0,0,0,0,78,275,12,0,0,0,280,487,22,0,0,0,509,1067,11,0,0,4,1082,436,4,0,0,0,440,229,0,0,0,0,228,94,0,0,0,0,96,98,3,0,0,0,104,2968,58,0,0,5,3036
502011028,54,6,0,0,0,58,33,0,0,0,0,38,35,0,0,0,0,35,45,0,3,0,0,54,56,3,0,0,0,60,179,13,3,0,0,195,214,19,0,0,0,238,261,16,0,0,0,273,85,3,0,0,0,87,84,7,0,0,0,89,43,0,0,0,0,44,53,4,0,0,0,60,1143,71,10,0,4,1227
502011029,56,0,0,0,0,62,25,0,0,0,0,27,22,3,0,0,0,26,49,0,0,0,0,54,60,0,0,0,0,62,186,7,0,0,0,188,232,0,0,0,0,230,339,0,0,3,3,343,148,0,0,0,0,147,117,0,0,0,0,123,57,0,0,3,0,60,60,0,0,0,0,58,1354,10,0,14,4,1379
503011030,60,4,0,0,0,65,13,0,0,0,0,13,7,0,0,0,0,12,9,0,0,0,0,9,17,0,0,0,0,16,40,0,0,0,0,40,30,0,0,0,0,30,69,0,0,0,0,71,38,0,0,0,0,38,74,3,0,0,0,79,250,5,3,0,0,258,38,0,0,0,0,43,639,18,9,0,0,671
503011031,53,16,11,0,0,72,5,0,0,0,0,6,3,0,3,0,0,10,7,7,0,0,0,14,15,6,0,0,0,21,30,20,14,0,0,55,22,16,25,0,0,58,59,24,25,0,0,112,31,25,13,0,0,71,50,23,14,0,0,90,178,32,8,0,0,222,31,14,3,0,0,39,481,176,108,0,4,773
503011032,53,13,9,0,0,70,10,0,3,0,0,14,8,5,0,0,0,12,8,0,0,0,0,8,13,0,4,0,0,17,32,5,5,0,0,40,31,0,13,0,0,45,58,11,11,0,0,82,17,3,5,0,0,26,65,13,5,0,0,84,262,28,10,0,0,302,31,13,0,0,0,44,587,90,62,0,0,743
503011033,74,0,0,0,0,74,21,0,0,0,0,21,10,0,0,0,0,10,24,0,0,0,0,24,26,0,0,0,0,27,63,3,0,0,0,70,43,3,0,0,0,46,134,8,3,0,0,143,80,3,0,0,0,78,180,4,10,0,0,192,368,11,4,0,0,380,52,0,0,0,0,50,1068,29,15,0,0,1116
503011034,74,11,3,0,0,85,7,0,3,0,0,9,12,3,5,0,0,18,13,5,6,0,0,19,16,4,9,0,0,26,54,9,25,0,0,86,25,18,24,0,0,67,76,18,33,0,0,128,62,11,8,0,0,87,136,11,3,0,0,155,316,10,0,0,0,327,58,5,0,0,0,73,857,101,117,0,0,1073
503011035,121,6,7,0,0,147,16,0,0,0,0,24,14,3,0,0,0,17,22,9,3,0,0,32,23,8,4,0,0,31,70,8,11,0,0,93,52,7,9,0,0,62,87,20,22,0,0,126,70,13,18,0,0,98,134,32,18,0,0,187,555,34,14,0,0,611,83,7,3,0,0,92,1250,142,109,0,0,1510
503011036,60,14,0,3,0,71,14,3,0,0,0,17,13,4,0,0,0,16,15,0,0,0,0,21,20,9,0,0,0,32,53,7,3,0,0,58,39,13,3,0,0,53,88,17,3,0,0,104,55,12,3,0,0,72,119,27,7,0,0,149,314,41,5,0,0,365,36,0,0,0,0,44,825,143,23,3,0,992
503021037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503021038,65,16,3,0,0,83,15,5,4,0,0,23,17,0,0,0,0,23,23,8,0,0,0,29,41,4,3,0,0,46,110,32,3,0,0,143,103,27,14,3,0,143,178,46,26,3,0,253,129,53,15,3,0,190,231,54,12,0,0,294,230,30,0,0,0,266,48,14,5,0,0,58,1176,296,77,7,3,1555
503021039,86,17,7,0,0,117,26,5,6,0,0,36,25,3,4,0,0,38,32,13,15,0,0,57,43,9,5,0,0,61,121,49,60,0,0,233,111,27,72,0,0,209,220,79,78,0,0,379,169,58,22,0,0,246,233,52,8,0,0,292,353,40,9,0,0,401,48,7,3,0,0,62,1466,375,295,3,0,2138
503021040,46,8,5,0,0,66,8,4,0,0,0,11,12,10,0,0,0,18,21,4,3,0,0,29,20,6,0,0,0,29,71,19,21,0,0,114,77,26,17,0,0,120,125,56,21,0,0,199,98,44,15,0,0,149,185,54,5,0,0,242,165,24,3,0,3,192,33,4,0,0,0,38,864,251,94,0,3,1219
503021041,18,17,94,0,3,135,7,4,32,0,0,47,3,6,20,0,0,27,3,4,30,0,0,45,12,12,74,0,0,101,13,29,233,0,0,277,30,46,329,3,0,409,49,73,563,0,3,685,40,41,344,3,0,431,80,72,287,0,0,433,64,68,183,0,0,313,11,14,65,0,0,91,337,388,2254,9,12,3002
503021042,82,26,11,0,0,119,14,6,7,0,0,24,14,10,3,0,0,29,27,10,7,0,0,40,29,6,10,0,0,41,77,39,26,0,0,140,72,18,58,0,0,147,125,50,66,3,0,244,79,42,57,0,0,178,182,62,36,0,0,277,346,48,22,0,0,422,37,9,12,0,0,56,1080,320,308,3,3,1716
503021043,88,17,19,0,0,126,21,15,11,0,0,42,21,0,10,0,0,33,27,8,27,0,0,64,33,16,35,0,0,89,101,52,116,0,0,273,75,59,103,0,0,242,141,75,89,0,3,310,117,55,15,0,0,196,236,60,14,0,0,315,350,43,8,0,0,396,49,13,17,0,0,79,1266,419,463,0,4,2160
504011044,104,10,3,0,0,124,40,4,0,0,0,50,40,6,3,0,0,50,64,5,3,0,0,78,89,6,4,0,0,102,242,53,10,0,0,306,263,57,11,0,0,335,491,64,17,0,0,570,270,27,0,0,0,303,203,15,0,0,0,223,100,10,0,0,0,115,72,6,3,0,0,78,1980,277,60,0,8,2322
504011045,170,25,0,0,0,195,61,3,0,0,0,65,62,6,0,0,0,74,80,8,0,0,0,91,109,17,4,0,0,122,309,42,17,0,0,375,369,59,8,3,0,442,634,90,10,0,0,737,524,42,0,0,6,575,490,31,0,0,0,525,223,18,0,0,0,245,99,8,0,0,0,107,3132,352,48,3,9,3545
504011046,51,24,9,0,0,89,10,8,12,0,0,32,9,9,10,0,0,20,19,24,12,0,0,52,29,18,17,0,0,65,57,80,84,0,3,224,61,114,110,0,0,285,131,162,91,0,3,389,92,79,36,0,0,204,139,59,15,0,0,218,97,21,4,0,0,119,34,9,5,0,0,52,719,599,409,0,3,1739
504011047,117,24,0,0,0,146,49,14,0,0,0,60,44,3,0,0,0,46,78,13,0,0,0,92,104,4,0,0,0,107,277,43,0,0,0,325,333,84,3,0,0,420,522,120,3,0,3,640,322,59,0,0,0,387,202,32,0,0,0,231,92,13,0,0,0,109,77,17,0,0,0,95,2223,430,12,0,9,2664
504011048,44,4,0,0,0,55,20,3,0,0,0,21,18,3,0,0,0,22,35,13,0,0,0,46,24,13,0,0,0,33,100,18,0,0,0,119,93,32,0,0,0,129,186,41,0,0,0,224,115,11,0,0,0,128,109,3,0,0,0,109,49,3,0,0,0,52,33,0,0,0,0,36,826,144,0,0,3,970
504021049,15,0,0,0,0,15,12,0,0,0,0,12,14,0,0,0,0,14,17,0,0,0,0,21,31,0,0,0,0,31,72,0,0,0,0,72,66,0,0,0,0,66,116,0,0,3,0,120,62,0,0,0,0,70,57,0,0,0,0,57,31,0,0,0,0,34,24,0,0,0,0,27,512,4,0,7,3,521
504021050,82,0,0,0,0,79,25,0,0,0,0,25,12,0,0,0,0,12,32,0,0,0,0,32,40,0,0,0,0,40,123,0,0,0,0,123,138,0,0,0,0,141,253,0,0,3,0,258,177,0,0,0,0,177,203,0,0,0,0,203,82,0,0,0,0,84,39,0,0,0,0,39,1218,3,0,4,0,1225
504021051,39,0,0,0,0,39,22,0,0,0,0,22,16,0,0,0,0,16,34,0,0,0,0,34,36,0,0,0,0,36,99,4,0,0,0,103,124,0,0,0,0,122,215,4,0,0,0,217,150,0,0,0,0,148,109,0,0,0,0,107,50,0,0,0,0,53,38,0,0,0,0,38,925,15,0,0,0,939
504021052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
504021053,107,0,0,0,0,111,42,0,0,0,0,42,41,0,0,0,0,41,64,0,0,0,0,64,90,0,0,0,0,90,226,0,0,0,0,228,287,0,0,0,0,288,459,5,0,0,0,459,319,0,0,0,0,319,310,0,0,0,0,315,126,0,0,0,0,126,103,0,0,0,0,103,2174,3,3,0,4,2186
504021054,97,3,0,0,0,100,41,3,0,0,0,48,42,0,0,0,0,42,81,5,0,0,0,84,93,3,0,0,0,99,245,15,0,0,0,254,308,16,3,0,0,327,455,14,0,0,0,468,199,0,0,0,0,196,124,0,0,0,0,126,64,0,0,0,0,64,74,5,0,0,0,81,1827,62,3,0,0,1897
504031055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031056,148,6,0,0,0,150,67,3,0,0,0,66,71,3,0,0,0,74,106,3,0,0,0,110,148,3,0,0,0,158,440,14,0,0,0,456,491,13,0,0,0,501,799,14,0,0,0,821,371,0,0,0,0,368,213,3,0,0,0,217,91,0,0,0,0,95,129,5,0,0,0,132,3071,65,0,0,0,3134
504031057,132,7,0,0,0,138,43,3,0,0,0,50,38,3,0,0,0,38,87,8,0,0,0,87,109,12,0,0,0,123,312,24,0,0,0,346,375,62,0,0,0,440,808,110,0,0,0,915,407,38,0,0,0,443,184,16,0,0,0,203,87,9,0,0,0,93,113,8,0,0,0,121,2700,292,3,0,3,2999
504031058,31,0,0,0,0,31,10,0,0,0,0,10,17,0,0,0,0,17,25,0,0,0,0,23,25,0,0,0,0,25,114,0,0,0,0,114,139,0,0,4,0,143,242,0,0,0,0,242,135,0,0,3,0,132,91,0,0,0,0,91,50,0,0,0,0,50,47,0,0,0,0,43,925,0,0,9,0,935
504031059,137,16,0,0,0,149,43,13,0,0,0,57,57,11,0,0,0,63,90,5,0,0,0,101,128,13,0,0,0,141,479,66,3,0,0,550,938,150,0,0,0,1089,2467,280,0,0,3,2752,1419,90,3,0,0,1512,580,24,0,0,0,603,239,10,0,0,0,256,201,26,0,0,0,228,6781,701,8,0,7,7494
504031060,22,0,0,0,0,22,9,0,0,0,0,7,5,0,0,0,0,5,7,0,0,0,0,7,16,0,0,0,0,16,50,0,0,0,0,50,61,0,0,3,0,61,85,0,0,3,0,88,54,0,0,0,0,55,74,0,0,0,0,80,56,0,0,0,0,56,26,0,0,0,0,26,459,0,0,4,3,468
504031061,25,0,0,0,0,28,7,0,0,0,0,7,3,0,0,0,0,3,25,0,0,0,0,25,30,0,0,0,0,31,84,6,0,0,0,88,104,6,0,0,0,110,206,11,0,0,0,222,110,5,0,0,0,118,88,4,0,0,0,94,33,0,0,0,0,33,27,0,0,0,0,26,757,28,0,4,0,790
504031062,68,4,0,0,0,74,31,4,0,0,0,38,25,4,0,0,0,27,45,3,3,0,0,54,86,16,0,0,0,102,214,25,3,0,0,243,244,36,0,0,0,283,483,23,0,3,0,509,344,11,0,0,0,350,129,7,0,0,0,137,57,3,0,0,0,64,86,0,0,0,0,90,1816,136,9,3,8,1966
504031063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031065,26,0,0,0,0,27,15,0,0,0,0,15,24,0,0,0,0,23,16,0,0,0,0,16,38,3,0,3,0,41,98,3,0,0,0,102,127,8,0,0,0,139,172,9,0,0,0,178,63,7,0,0,0,70,47,0,0,0,0,50,26,0,0,0,0,31,38,0,0,0,0,41,686,48,0,5,0,741
504031066,52,13,0,0,0,67,22,10,0,0,0,34,17,7,0,0,0,18,43,6,0,0,0,46,32,22,0,0,0,58,103,73,9,0,0,185,142,71,16,0,0,231,194,82,13,0,0,289,81,16,5,0,0,100,81,19,0,0,0,92,41,14,0,0,0,57,44,6,0,0,0,48,855,333,36,5,3,1228
504031067,45,0,0,0,0,45,25,0,0,0,0,25,26,0,0,0,0,26,58,0,0,0,0,58,59,0,0,0,0,59,195,0,0,0,0,195,245,0,0,0,0,240,343,3,0,0,0,353,172,0,0,0,0,174,79,0,0,0,0,79,44,0,0,0,0,43,47,0,0,0,0,47,1338,9,0,0,4,1348
504031068,66,8,0,0,0,71,20,0,0,0,0,22,9,0,0,0,0,9,38,5,0,0,0,40,32,7,0,0,0,41,132,22,0,0,0,156,177,37,0,0,0,218,465,37,0,0,0,500,419,7,0,0,0,429,307,0,0,0,0,310,151,3,0,0,0,155,75,3,0,0,0,84,1900,134,0,0,4,2042
504031069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
